#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              3293.5           0.003388
              3288.3           0.001274
                3283           0.002171
              3277.7           0.005991
              3272.5           0.004302
              3267.2           0.001922
              3261.9           0.005181
              3256.7           0.004148
              3251.4           0.000092
              3246.1          -0.001601
              3240.9          -0.004900
              3235.6          -0.003772
              3230.3           0.000019
              3225.1           0.002356
              3219.8           0.003292
              3214.6           0.000336
              3209.3          -0.003909
                3204          -0.005266
              3198.8          -0.003285
              3193.5          -0.000384
              3188.2           0.000316
                3183          -0.000980
              3177.7          -0.003018
              3172.4          -0.002352
              3167.2          -0.001162
              3161.9          -0.000381
              3156.7          -0.000922
              3151.4          -0.002243
              3146.1           0.001602
              3140.9           0.005517
              3135.6           0.002837
              3130.4           0.000749
              3125.1           0.001030
              3119.8           0.001750
              3114.6           0.002299
              3109.3           0.002458
                3104           0.002460
              3098.8           0.003354
              3093.5           0.000137
              3088.3          -0.005192
                3083          -0.005632
              3077.8          -0.001457
              3072.5           0.003109
              3067.2           0.002885
                3062          -0.002340
              3056.7          -0.005622
              3051.5          -0.006386
              3046.2          -0.005957
              3040.9          -0.002055
              3035.7           0.002059
              3030.4           0.002128
              3025.2           0.004329
              3019.9           0.004558
              3014.7           0.001720
              3009.4           0.002067
              3004.1           0.002845
              2998.9           0.003595
              2993.6           0.003407
              2988.4           0.001912
              2983.1           0.005220
              2977.9           0.007124
              2972.6           0.002028
              2967.3          -0.002952
              2962.1          -0.004074
              2956.8          -0.002057
              2951.6           0.001288
              2946.3          -0.001956
              2941.1          -0.006545
              2935.8          -0.001690
              2930.6           0.002670
              2925.3          -0.000050
              2920.1           0.001464
              2914.8           0.005594
              2909.5           0.003574
              2904.3          -0.001498
                2899          -0.004667
              2893.8          -0.002636
              2888.5           0.000417
              2883.3          -0.001730
                2878          -0.000014
              2872.8           0.001728
              2867.5          -0.000628
              2862.3           0.000983
                2857           0.000500
              2851.8          -0.002815
              2846.5          -0.001104
              2841.3           0.000018
                2836          -0.000948
              2830.8           0.000815
              2825.5           0.004032
              2820.3           0.003983
                2815           0.004107
              2809.8           0.005817
              2804.5           0.005817
              2799.3           0.002448
                2794          -0.001372
              2788.8          -0.002050
              2783.5          -0.000036
              2778.3           0.003378
                2773           0.005847
              2767.8           0.004295
              2762.5           0.001401
              2757.3          -0.001507
                2752          -0.005460
              2746.8          -0.007538
              2741.5          -0.005547
              2736.3          -0.000603
                2731           0.004004
              2725.8           0.004132
              2720.5          -0.000344
              2715.3          -0.003337
              2710.1           0.000474
              2704.8           0.004556
              2699.6           0.002943
              2694.3          -0.000863
              2689.1          -0.002861
              2683.8          -0.001989
              2678.6           0.002376
              2673.3           0.005185
              2668.1           0.004765
              2662.8           0.005023
              2657.6           0.004688
              2652.4           0.000675
              2647.1           0.002883
              2641.9           0.003252
              2636.6          -0.002624
              2631.4          -0.000646
              2626.1           0.003458
              2620.9           0.002416
              2615.6           0.001825
              2610.4           0.000994
              2605.2          -0.001263
              2599.9          -0.002273
              2594.7          -0.000111
              2589.4           0.002572
              2584.2           0.004078
              2578.9           0.001500
              2573.7          -0.003310
              2568.5          -0.005244
              2563.2          -0.002389
                2558           0.001188
              2552.7           0.001390
              2547.5          -0.002266
              2542.3          -0.004170
                2537          -0.002831
              2531.8          -0.001399
              2526.5          -0.002298
              2521.3          -0.003749
              2516.1          -0.001327
              2510.8           0.000832
              2505.6          -0.002061
              2500.3          -0.004944
              2495.1          -0.006412
              2489.9          -0.005762
              2484.6          -0.003722
              2479.4          -0.001738
              2474.1          -0.000264
              2468.9           0.001620
              2463.7           0.001304
              2458.4          -0.004453
              2453.2          -0.006411
                2448          -0.001695
              2442.7           0.001974
              2437.5           0.003826
              2432.2           0.001388
                2427          -0.002376
              2421.8          -0.004713
              2416.5          -0.007347
              2411.3          -0.007491
              2406.1          -0.004256
              2400.8          -0.001368
              2395.6          -0.001785
              2390.4          -0.005202
              2385.1          -0.005534
              2379.9          -0.002404
              2374.7           0.000732
              2369.4           0.000534
              2364.2          -0.001548
              2358.9          -0.000148
              2353.7          -0.003141
              2348.5          -0.008661
              2343.2          -0.005052
                2338           0.000688
              2332.8           0.001336
              2327.5          -0.000138
              2322.3          -0.000140
              2317.1          -0.000431
              2311.8          -0.002948
              2306.6          -0.005887
              2301.4          -0.004620
              2296.2          -0.001402
              2290.9           0.000422
              2285.7           0.000290
              2280.5          -0.002483
              2275.2          -0.005406
                2270          -0.003015
              2264.8           0.003661
              2259.5           0.007513
              2254.3           0.005563
              2249.1           0.004597
              2243.8           0.001561
              2238.6          -0.002999
              2233.4          -0.000707
              2228.1           0.003660
              2222.9           0.003164
              2217.7           0.002040
              2212.5           0.000983
              2207.2          -0.001610
                2202          -0.003902
              2196.8          -0.003980
              2191.5          -0.001550
              2186.3           0.000491
              2181.1           0.001429
              2175.9           0.003023
              2170.6          -0.000189
              2165.4          -0.003035
              2160.2           0.001717
                2155           0.006479
              2149.7           0.004103
              2144.5          -0.001134
              2139.3          -0.000853
                2134           0.003392
              2128.8           0.003183
              2123.6          -0.003389
              2118.4          -0.008327
              2113.1          -0.002741
              2107.9           0.005648
              2102.7           0.008687
              2097.5           0.001961
              2092.2          -0.006132
                2087          -0.006592
              2081.8          -0.005023
              2076.6          -0.003016
              2071.3           0.001349
              2066.1           0.003940
              2060.9           0.004465
              2055.7           0.003874
              2050.4           0.001060
              2045.2          -0.000216
                2040           0.003012
              2034.8           0.005968
              2029.5           0.007807
              2024.3           0.004157
              2019.1          -0.000781
              2013.9          -0.000372
              2008.7           0.001658
              2003.4           0.002763
              1998.2           0.004611
                1993           0.005705
              1987.8           0.005951
              1982.6           0.005520
              1977.3           0.002635
              1972.1          -0.001422
              1966.9          -0.003554
              1961.7          -0.001655
              1956.4           0.004782
              1951.2           0.006768
                1946           0.003444
              1940.8          -0.001478
              1935.6          -0.004390
              1930.3          -0.002946
              1925.1          -0.000550
              1919.9           0.000039
              1914.7           0.001824
              1909.5           0.002177
              1904.3          -0.002455
                1899          -0.006127
              1893.8          -0.003861
              1888.6           0.001061
              1883.4           0.005777
              1878.2           0.009005
              1872.9           0.007688
              1867.7           0.002299
              1862.5           0.001691
              1857.3           0.004415
              1852.1           0.006143
              1846.9           0.005492
              1841.6           0.004701
              1836.4           0.006290
              1831.2           0.002376
                1826          -0.003587
              1820.8          -0.003852
              1815.6          -0.005952
              1810.3          -0.005121
              1805.1          -0.000831
              1799.9           0.002148
              1794.7           0.001020
              1789.5          -0.004004
              1784.3          -0.003684
              1779.1          -0.000249
              1773.8          -0.002162
              1768.6          -0.003351
              1763.4          -0.001203
              1758.2           0.001895
                1753           0.001527
              1747.8          -0.001233
              1742.6          -0.002772
              1737.4          -0.000450
              1732.1           0.005232
              1726.9           0.005975
              1721.7           0.001713
              1716.5           0.001615
              1711.3           0.002839
              1706.1           0.004624
              1700.9           0.007162
              1695.7           0.003654
              1690.4          -0.003833
              1685.2          -0.007492
                1680          -0.005122
              1674.8          -0.003380
              1669.6          -0.005634
              1664.4          -0.002299
              1659.2           0.003019
                1654           0.000921
              1648.8          -0.003408
              1643.6          -0.006676
              1638.3          -0.008114
              1633.1          -0.007423
              1627.9          -0.006234
              1622.7          -0.001264
              1617.5           0.001353
              1612.3          -0.000088
              1607.1          -0.002159
              1601.9          -0.002239
              1596.7           0.001062
              1591.5           0.003929
              1586.3           0.003952
              1581.1           0.000737
              1575.8          -0.002231
              1570.6           0.000193
              1565.4           0.005085
              1560.2           0.005883
                1555           0.003792
              1549.8           0.004036
              1544.6           0.006062
              1539.4           0.006433
              1534.2           0.001008
                1529          -0.004048
              1523.8          -0.005556
              1518.6          -0.002527
              1513.4           0.005260
              1508.2           0.011830
                1503           0.024774
              1497.8           0.057042
              1492.6           0.119880
              1487.3           0.238957
              1482.1           0.425336
              1476.9           0.658638
              1471.7           0.870393
              1466.5           0.983193
              1461.3           0.994918
              1456.1           0.948773
              1450.9           0.871675
              1445.7           0.789608
              1440.5           0.724494
              1435.3           0.680798
              1430.1           0.636995
              1424.9           0.587747
              1419.7           0.550440
              1414.5           0.534454
              1409.3           0.536886
              1404.1           0.546936
              1398.9           0.552428
              1393.7           0.546528
              1388.5           0.532396
              1383.3           0.523400
              1378.1           0.519168
              1372.9           0.517387
              1367.7           0.522906
              1362.5           0.530558
              1357.3           0.538339
              1352.1           0.539082
              1346.9           0.523791
              1341.7           0.505860
              1336.5           0.491742
              1331.3           0.480878
              1326.1           0.471306
              1320.9           0.465913
              1315.7           0.471815
              1310.5           0.474525
              1305.3           0.463564
              1300.1           0.455309
              1294.9           0.457138
              1289.7           0.459592
              1284.5           0.449748
              1279.3           0.438558
              1274.1           0.442076
              1268.9           0.448603
              1263.7           0.444250
              1258.5           0.427059
              1253.3           0.402641
              1248.1           0.380420
                1243           0.364577
              1237.8           0.360479
              1232.6           0.360130
              1227.4           0.355328
              1222.2           0.350280
                1217           0.346488
              1211.8           0.343575
              1206.6           0.344394
              1201.4           0.347648
              1196.2           0.351990
                1191           0.360548
              1185.8           0.372490
              1180.6           0.382218
              1175.4           0.397537
              1170.2           0.410706
                1165           0.410047
              1159.8           0.405683
              1154.7           0.413022
              1149.5           0.431989
              1144.3           0.448845
              1139.1           0.455212
              1133.9           0.452915
              1128.7           0.448789
