#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              3293.5           0.003906
              3288.3           0.003352
                3283           0.001062
              3277.7           0.000382
              3272.5          -0.000731
              3267.2          -0.002544
              3261.9          -0.001807
              3256.7          -0.001425
              3251.4           0.003038
              3246.1           0.002718
              3240.9          -0.002993
              3235.6          -0.002039
              3230.3           0.005499
              3225.1           0.007128
              3219.8           0.003258
              3214.6           0.001643
              3209.3           0.000007
                3204          -0.003357
              3198.8          -0.002605
              3193.5          -0.000463
              3188.2           0.001036
                3183           0.002884
              3177.7           0.002855
              3172.4          -0.002348
              3167.2          -0.004171
              3161.9          -0.000637
              3156.7           0.002859
              3151.4           0.004389
              3146.1           0.003490
              3140.9          -0.000783
              3135.6          -0.001724
              3130.4           0.002375
              3125.1           0.003997
              3119.8           0.000447
              3114.6           0.001015
              3109.3           0.001392
                3104           0.000279
              3098.8           0.000044
              3093.5          -0.000605
              3088.3           0.003770
                3083           0.008081
              3077.8           0.005477
              3072.5           0.003031
              3067.2          -0.001283
                3062          -0.007725
              3056.7          -0.008797
              3051.5          -0.004358
              3046.2          -0.004254
              3040.9          -0.004300
              3035.7          -0.001345
              3030.4           0.001414
              3025.2           0.002585
              3019.9           0.002994
              3014.7           0.001384
              3009.4          -0.000550
              3004.1           0.000375
              2998.9           0.004141
              2993.6           0.002427
              2988.4          -0.001684
              2983.1          -0.007769
              2977.9          -0.010742
              2972.6          -0.003695
              2967.3           0.004056
              2962.1           0.003623
              2956.8           0.001944
              2951.6           0.005099
              2946.3           0.007260
              2941.1           0.003906
              2935.8           0.002967
              2930.6           0.001985
              2925.3           0.001326
              2920.1          -0.000452
              2914.8          -0.001380
              2909.5           0.000951
              2904.3          -0.001586
                2899          -0.004823
              2893.8          -0.001202
              2888.5           0.000273
              2883.3           0.000482
                2878           0.002375
              2872.8           0.002991
              2867.5          -0.001542
              2862.3          -0.004210
                2857          -0.002970
              2851.8          -0.004180
              2846.5          -0.005646
              2841.3          -0.003553
                2836          -0.003749
              2830.8          -0.004700
              2825.5          -0.004197
              2820.3          -0.004088
                2815          -0.005204
              2809.8          -0.001075
              2804.5           0.002311
              2799.3           0.002018
                2794           0.000086
              2788.8          -0.003354
              2783.5          -0.002487
              2778.3           0.002266
                2773           0.001142
              2767.8          -0.000289
              2762.5          -0.000454
              2757.3          -0.001776
                2752          -0.003701
              2746.8          -0.002363
              2741.5          -0.000088
              2736.3          -0.000537
                2731          -0.005763
              2725.8          -0.008204
              2720.5          -0.005715
              2715.3          -0.000696
              2710.1           0.000539
              2704.8          -0.001276
              2699.6          -0.002721
              2694.3          -0.001894
              2689.1           0.000685
              2683.8           0.004476
              2678.6           0.006668
              2673.3           0.006341
              2668.1           0.003850
              2662.8           0.004690
              2657.6           0.003459
              2652.4           0.001843
              2647.1           0.002292
              2641.9           0.002392
              2636.6           0.002810
              2631.4           0.006190
              2626.1           0.006898
              2620.9           0.003342
              2615.6          -0.001242
              2610.4          -0.000451
              2605.2           0.000155
              2599.9          -0.000815
              2594.7           0.002384
              2589.4           0.007051
              2584.2           0.004302
              2578.9          -0.002727
              2573.7          -0.007621
              2568.5          -0.005690
              2563.2          -0.000813
                2558           0.002314
              2552.7           0.000509
              2547.5           0.000137
              2542.3           0.001941
                2537           0.003311
              2531.8           0.003135
              2526.5           0.001293
              2521.3           0.002994
              2516.1           0.007355
              2510.8           0.003276
              2505.6          -0.000814
              2500.3           0.000818
              2495.1           0.004466
              2489.9           0.002946
              2484.6          -0.001795
              2479.4          -0.002563
              2474.1           0.000510
              2468.9           0.004063
              2463.7           0.006414
              2458.4           0.004846
              2453.2           0.002854
                2448          -0.001021
              2442.7          -0.001484
              2437.5           0.001673
