#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              -455.8           0.023310
              -444.8           0.081470
              -433.9          -0.060100
              -422.9          -0.047500
                -412          -0.033310
                -401          -0.020190
                -390           0.001040
              -379.1          -0.004640
              -368.1          -0.016320
              -357.1          -0.019720
              -346.2          -0.015150
              -335.2          -0.015440
              -324.2          -0.020340
              -313.3          -0.018100
              -302.3          -0.013260
              -291.3          -0.015260
              -280.3          -0.017640
              -269.4          -0.014890
              -258.4          -0.008630
              -247.4          -0.008480
              -236.5          -0.009560
              -225.5          -0.009020
              -214.5          -0.013180
              -203.5          -0.017310
              -192.5          -0.018080
              -181.6          -0.015540
              -170.6          -0.013790
              -159.6          -0.017340
              -148.6          -0.024700
              -137.6          -0.027330
              -126.7          -0.028020
              -115.7          -0.036460
              -104.7          -0.040370
               -93.7          -0.033450
               -82.7          -0.034650
               -71.7          -0.045590
               -60.7           0.012900
               -49.8           0.141400
               -38.8           0.186600
               -27.8           0.111500
               -16.8           0.054350
                -5.8           0.077780
                 5.2           0.076310
                16.2           0.018640
                27.2          -0.018090
                38.2          -0.021270
                49.2          -0.018270
                60.2          -0.018910
                71.2          -0.017650
                82.2          -0.015210
                93.2          -0.017290
               104.2          -0.018600
               115.2          -0.017600
               126.2          -0.015630
               137.2          -0.013030
               148.2          -0.010730
               159.2          -0.009100
               170.2          -0.009390
               181.2          -0.006880
               192.2          -0.004480
               203.2          -0.010070
               214.2          -0.014210
               225.2          -0.011510
               236.2          -0.012850
               247.2          -0.012530
               258.3          -0.005600
               269.3          -0.003580
               280.3          -0.006820
               291.3          -0.011620
               302.3          -0.011830
               313.3          -0.010110
               324.3          -0.016870
               335.4          -0.018640
               346.4          -0.010200
               357.4          -0.005020
               368.4          -0.005240
               379.4          -0.009530
               390.5          -0.015620
               401.5          -0.015750
               412.5          -0.010740
               423.5          -0.001710
               434.5           0.004240
               445.6           0.001430
               456.6           0.000510
               467.6           0.002900
               478.7           0.007410
               489.7           0.021590
               500.7           0.071890
               511.7           0.236400
               522.8           0.504200
               533.8           0.677600
               544.8           0.677100
               555.9           0.619900
               566.9           0.579600
               577.9           0.554500
                 589           0.539700
                 600           0.558600
                 611           0.627500
               622.1           0.733700
               633.1           0.739300
               644.2           0.502500
               655.2           0.199300
               666.2           0.050260
               677.3           0.014270
               688.3           0.003970
               699.4          -0.000580
               710.4          -0.005480
               721.5          -0.006170
               732.5          -0.005010
               743.6          -0.010620
               754.6          -0.015120
               765.7          -0.012760
               776.7          -0.012930
               787.8          -0.020470
               798.8          -0.025510
               809.9          -0.026030
               820.9          -0.024550
                 832          -0.021060
                 843          -0.019800
               854.1          -0.021110
               865.1          -0.022700
               876.2          -0.023220
               887.2          -0.021590
               898.3          -0.020340
               909.4          -0.026950
               920.4          -0.034180
               931.5          -0.030930
               942.5          -0.024620
               953.6          -0.023170
               964.7          -0.023850
               975.7          -0.020320
               986.8          -0.019100
               997.9          -0.024140
              1008.9          -0.025890
                1020          -0.024830
              1031.1          -0.024530
              1042.1          -0.027020
              1053.2          -0.032420
              1064.3          -0.033460
              1075.3          -0.028930
              1086.4          -0.026120
              1097.5          -0.026260
              1108.6          -0.023730
              1119.6          -0.021010
              1130.7          -0.020970
              1141.8          -0.022580
              1152.9          -0.023870
              1163.9          -0.025800
                1175          -0.028550
              1186.1          -0.026540
              1197.2          -0.024460
              1208.3          -0.024400
              1219.3          -0.024160
              1230.4          -0.025230
              1241.5          -0.021290
              1252.6          -0.015300
              1263.7          -0.015730
              1274.8          -0.018990
              1285.9          -0.021780
              1296.9          -0.021700
                1308          -0.017520
              1319.1          -0.014200
              1330.2          -0.014410
              1341.3          -0.014770
              1352.4          -0.015850
              1363.5          -0.018880
              1374.6          -0.020500
              1385.7          -0.016680
              1396.8          -0.010280
              1407.9          -0.007690
                1419          -0.009760
              1430.1          -0.012720
              1441.2          -0.010820
              1452.3          -0.008630
              1463.4          -0.008650
              1474.5          -0.011340
              1485.6          -0.017530
              1496.7          -0.014730
              1507.8          -0.013480
              1518.9          -0.006760
                1530           0.021590
              1541.1           0.017380
              1552.2          -0.019740
              1563.3           0.001790
              1574.4           0.078500
              1585.5           0.029470
              1596.6          -0.090800
              1607.7          -0.064700
              1618.8           0.085050
                1630           0.112300
              1641.1          -0.268800
              1652.2          -0.194300
