#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
            -401.178               0.005
            -399.663              0.0047
            -398.148              0.0045
            -396.633              0.0043
            -395.118              0.0041
            -393.603              0.0039
            -392.088              0.0037
            -390.573              0.0035
            -389.057              0.0033
            -387.542              0.0031
            -386.027              0.0029
            -384.512              0.0027
            -382.997              0.0025
            -381.482              0.0023
            -379.967              0.0021
            -378.451              0.0019
            -376.936              0.0016
            -375.421              0.0014
            -373.906              0.0012
            -372.391               0.001
            -370.876              0.0008
            -369.366             -0.0607
            -367.846              0.0004
            -366.335             -0.0611
            -364.815                  -0
              -363.3             -0.0002
            -361.785             -0.0004
             -360.27             -0.0006
            -358.755             -0.0008
             -357.24              -0.001
            -355.724             -0.0012
            -354.214             -0.0627
            -352.694             -0.0017
            -351.179             -0.0019
            -349.664             -0.0021
            -348.149             -0.0023
            -346.634             -0.0025
            -345.124              -0.064
            -343.609             -0.0642
            -342.088             -0.0031
            -340.573             -0.0033
            -339.058             -0.0035
            -337.543             -0.0037
            -336.028             -0.0039
            -334.513             -0.0041
            -332.997             -0.0043
            -331.482             -0.0045
            -329.967             -0.0047
            -328.452              -0.005
            -326.937             -0.0052
            -325.427             -0.0667
            -323.912             -0.0669
            -322.397             -0.0671
            -320.876              -0.006
            -319.366             -0.0675
            -317.846             -0.0064
            -316.336             -0.0679
            -314.816             -0.0068
            -313.301              -0.007
            -311.786             -0.0072
            -310.271             -0.0074
            -308.755             -0.0076
             -307.24             -0.0078
            -305.725             -0.0081
             -304.21             -0.0083
            -302.695             -0.0085
             -301.18             -0.0087
            -299.665             -0.0089
            -298.149             -0.0091
            -296.639             -0.0706
            -295.124             -0.0708
            -293.609              -0.071
            -292.089             -0.0099
            -290.574             -0.0101
            -289.059             -0.0103
            -287.544             -0.0105
            -286.028             -0.0107
            -284.513             -0.0109
            -282.998             -0.0111
            -281.483             -0.0114
            -279.968             -0.0116
            -278.453             -0.0118
            -276.938              -0.012
            -275.422             -0.0122
            -273.907             -0.0124
            -272.392             -0.0126
            -270.877             -0.0128
            -269.362              -0.013
            -267.847             -0.0132
            -266.332             -0.0134
            -264.811              0.0477
            -263.296              0.0475
            -261.776              0.1086
            -260.251               0.231
            -258.731              0.2921
             -257.21              0.3532
            -255.685              0.4756
            -254.165              0.5366
             -252.65              0.5364
            -251.124              0.6588
            -249.604              0.7199
            -248.079              0.8423
            -246.558              0.9034
            -245.038              0.9645
            -243.513              1.0869
            -241.993               1.148
            -240.467              1.2704
            -238.947              1.3315
            -237.422              1.4539
            -235.902               1.515
            -234.381              1.5761
            -232.861              1.6372
            -231.336              1.7596
            -229.815              1.8207
            -228.295              1.8818
            -226.775              1.9429
             -225.25              2.0653
            -223.735              2.0651
            -222.209              2.1875
            -220.689              2.2486
            -219.164               2.371
            -217.643              2.4321
            -216.123              2.4931
            -214.603              2.5542
            -213.078              2.6766
            -211.557              2.7377
            -210.037              2.7988
            -208.517              2.8599
            -206.992              2.9823
            -205.471              3.0434
            -203.951              3.1045
            -202.431              3.1656
            -200.911              3.2267
             -199.39              3.2878
             -197.87              3.3489
            -196.345              3.4713
            -194.825              3.5324
            -193.304              3.5935
            -191.784              3.6546
            -190.264              3.7157
            -188.744              3.7768
            -187.218              3.8992
            -185.693              4.0216
            -184.168               4.144
            -182.642              4.2664
            -181.112              4.4501
            -179.592              4.5112
            -178.061              4.6949
            -176.536              4.8172
            -175.011              4.9397
            -173.475              5.1847
            -171.945              5.3684
            -170.414              5.5521
            -168.879               5.797
            -167.348              5.9807
            -165.813              6.2258
            -164.277              6.4708
            -162.747              6.6544
            -161.216              6.8382
            -159.681              7.0831
             -158.15              7.2668
             -156.61              7.5732
            -155.079              7.7568
            -153.549              7.9406
            -152.018              8.1243
            -150.493              8.2466
            -148.963              8.4304
            -147.437              8.5527
            -145.912              8.6751
            -144.387              8.7976
            -142.856              8.9812
            -141.336              9.0423
            -139.821              9.0422
              -138.3              9.1032
             -136.78              9.1643
             -135.26              9.2255
            -133.745              9.2252
            -132.225              9.2863
             -130.71              9.2861
            -129.199              9.2246
            -127.684              9.2244
            -126.169              9.2242
            -124.659              9.1627
            -123.149              9.1012
            -121.639              9.0396
            -120.124              9.0395
            -118.614              8.9779
            -117.104              8.9164
            -115.594              8.8549
            -114.089              8.7321
            -112.579              8.6706
            -111.069              8.6091
            -109.564              8.4863
            -108.059              8.3635
            -106.559              8.1794
            -105.054              8.0565
            -103.544              7.9951
            -102.034              7.9335
            -100.529              7.8107
             -99.024              7.6879
             -97.514              7.6264
             -96.004              7.5649
             -94.499              7.4421
             -92.989              7.3806
               -91.5              7.0739
             -89.995              6.9511
               -88.5              6.7056
              -87.01              6.3989
             -85.516              6.1535
             -84.016              5.9694
             -82.526              5.6627
             -81.021              5.5399
             -79.511              5.4784
             -78.022              5.1716
             -76.507              5.1714
             -74.992              5.1712
             -73.476               5.171
             -71.961              5.1708
             -70.446              5.1706
             -68.926              5.2317
             -67.411              5.2315
             -65.896              5.2313
             -64.385              5.1698
             -62.876              5.1083
             -61.365              5.0468
             -59.866              4.8627
             -58.361              4.7398
             -56.861              4.5557
             -55.351              4.4942
             -53.841              4.4327
             -52.321              4.4938
             -50.795              4.6162
              -49.27              4.7386
              -47.75              4.7997
             -46.209               5.106
             -44.684              5.2284
             -43.158              5.3508
             -41.638              5.4119
             -40.108              5.5956
             -38.587              5.6567
             -37.062              5.7791
             -35.537              5.9015
             -34.011              6.0239
             -32.496              6.0237
             -30.976              6.0848
             -29.451              6.2072
              -27.92              6.3909
             -26.405              6.3907
              -24.88              6.5131
              -23.36              6.5741
             -21.845               6.574
             -20.324              6.6351
             -18.809              6.6348
             -17.289              6.6959
             -15.774              6.6958
             -14.254              6.7568
             -12.738              6.7566
             -11.223              6.7564
              -9.703              6.8175
              -8.193               6.756
              -6.673              6.8171
              -5.158              6.8169
              -3.643              6.8167
              -2.132              6.7552
              -0.612              6.8163
               0.913              6.9387
               2.438              7.0611
               3.964              7.1835
               5.489              7.3058
                7.02              7.4896
                8.55              7.6733
              10.075              7.7956
              11.595              7.8568
              13.116              7.9179
              14.636              7.9789
              16.161              8.1014
              17.682              8.1624
              19.212              8.3461
              20.742              8.5299
              22.268              8.6522
              23.762              8.4068
              25.349              9.2649
               26.89              9.5711
               28.43              9.8775
              29.971             10.1838
              31.501             10.3674
              33.037             10.6125
              34.578             10.9187
              36.108             11.1025
              37.628             11.1636
              39.154             11.2859
              40.679             11.4083
              42.199             11.4695
              43.714             11.4692
              45.229              11.469
              46.734             11.3462
              48.244             11.2847
              49.749             11.1619
              51.254             11.0391
              52.759             10.9163
              54.264             10.7935
              55.774             10.7319
              57.284             10.6705
              58.794              10.609
              60.299             10.4861
              61.809             10.4246
              63.319             10.3631
              64.829             10.3016
              66.339             10.2401
              67.849             10.1786
              69.359             10.1171
              70.869             10.0556
              72.379               9.994
              73.889              9.9326
              75.404              9.9324
               76.92              9.9321
               78.44              9.9933
               79.96             10.0543
               81.48             10.1154
              83.001             10.1765
              84.526             10.2989
              86.051             10.4213
              87.572             10.4824
              89.102             10.6661
              90.627             10.7885
              92.163             11.0335
              93.698             11.2785
              95.229             11.4622
              96.759             11.6459
