#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
             -10.219              0.0011
              -8.677              0.0012
              -7.136              0.0012
              -5.595              0.0013
              -4.053              0.0013
              -2.512              0.0014
              -0.971              0.0015
               0.571              0.0015
               2.112              0.0016
               3.653              0.0016
               5.195              0.0017
               6.736              0.0018
               8.277              0.0018
               9.819              0.0019
               11.36              0.0019
              12.901               0.002
              14.443               0.002
              15.984              0.0021
              17.525              0.0022
              19.067              0.0022
              20.608              0.0023
              22.161             -0.0052
              23.702             -0.0052
              25.232              0.0025
              26.773              0.0025
              28.315              0.0026
              29.856              0.0026
              31.397              0.0027
               32.95             -0.0048
              34.492             -0.0048
              36.033             -0.0047
              37.575             -0.0047
              39.116             -0.0046
              40.657             -0.0045
              42.187              0.0031
              43.728              0.0032
              45.269              0.0032
              46.822             -0.0043
              48.364             -0.0042
              49.893              0.0034
              51.435              0.0034
              52.976              0.0035
              54.517              0.0036
              56.059              0.0036
                57.6              0.0037
              59.153             -0.0038
              60.683              0.0038
              62.224              0.0039
              63.765              0.0039
              65.319             -0.0036
               66.86             -0.0035
              68.401             -0.0035
              69.942             -0.0034
              71.484             -0.0034
              73.025             -0.0033
              74.567             -0.0033
              76.108             -0.0032
              77.649             -0.0031
              79.191             -0.0031
              80.732              -0.003
              82.273              -0.003
              83.814             -0.0029
              85.356             -0.0028
              86.897             -0.0028
              88.439             -0.0027
               89.98             -0.0027
              91.521             -0.0026
              93.062             -0.0026
              94.604             -0.0025
              96.145             -0.0024
              97.686             -0.0024
              99.228             -0.0023
             100.769             -0.0023
             102.311             -0.0022
              103.84              0.0054
             105.393             -0.0021
             106.935              -0.002
             108.476              -0.002
             110.017             -0.0019
             111.559             -0.0019
               113.1             -0.0018
             114.641             -0.0017
             116.183             -0.0017
             117.724             -0.0016
             119.265             -0.0016
             120.807             -0.0015
             122.348             -0.0014
             123.889             -0.0014
             125.431             -0.0013
             126.972             -0.0013
             128.513             -0.0012
             130.055             -0.0012
             131.596             -0.0011
             133.137              -0.001
             134.679              -0.001
              136.22             -0.0009
             137.761             -0.0009
             139.303             -0.0008
             140.844             -0.0007
             142.385             -0.0007
             143.927             -0.0006
             145.468             -0.0006
             147.009             -0.0005
             148.551             -0.0005
             150.092             -0.0004
             151.633             -0.0003
             153.175             -0.0003
             154.716             -0.0002
             156.257             -0.0002
             157.799             -0.0001
              159.34                  -0
             160.869              0.0076
             162.411              0.0076
             163.952              0.0077
             165.493              0.0078
             167.035              0.0078
             168.576              0.0079
             170.117              0.0079
             171.659               0.008
               173.2              0.0081
             174.741              0.0081
             176.283              0.0082
             177.824              0.0082
             179.365              0.0083
             180.907              0.0083
              182.46              0.0008
             184.001              0.0009
             185.543              0.0009
             187.072              0.0086
             188.625              0.0011
             190.167              0.0011
             191.708              0.0012
             193.249              0.0012
             194.779              0.0089
              196.32              0.0089
             197.861               0.009
             199.403               0.009
             200.944              0.0091
             202.474              0.0167
             204.015              0.0168
             205.544              0.0244
             207.086              0.0245
             208.615              0.0321
             210.156              0.0322
             211.698              0.0322
             213.227              0.0399
             214.757              0.0475
             216.286              0.0551
             217.816              0.0628
             219.345              0.0704
             220.863              0.0856
              222.38              0.1008
             223.886              0.1236
             225.368              0.1615
              226.85              0.1995
             228.344              0.2298
             229.826              0.2678
             231.307              0.3057
             232.789              0.3436
             234.248              0.3967
             235.682               0.465
             237.116              0.5332
             238.563              0.5939
             239.997              0.6621
              241.42              0.7379
              242.89              0.7834
             244.348              0.8365
             245.806              0.8896
             247.276              0.9351
             248.734              0.9882
             250.193              1.0413
             251.663              1.0868
             253.133              1.1323
             254.638              1.1551
             256.144              1.1779
             257.662              1.1931
             259.179              1.2083
             260.697              1.2235
             262.226              1.2311
             263.744              1.2463
             265.273               1.254
             266.803              1.2616
             268.344              1.2617
             269.873              1.2693
             271.415              1.2693
             272.944               1.277
             274.486               1.277
             276.027              1.2771
              277.58              1.2696
             279.121              1.2696
             280.675              1.2621
             282.228              1.2546
             283.781              1.2471
             285.334              1.2396
             286.899              1.2245
             288.453               1.217
             290.018              1.2019
             291.595              1.1792
              293.16              1.1641
             294.725               1.149
              296.29              1.1339
             297.855              1.1188
             299.408              1.1113
             300.973              1.0962
             302.538              1.0811
             304.104               1.066
             305.669               1.051
             307.222              1.0434
             308.787              1.0283
              310.34              1.0208
             311.893              1.0133
             313.447              1.0058
                 315              0.9983
             316.541              0.9983
             318.094              0.9908
             319.648              0.9833
             321.189              0.9834
              322.73              0.9834
             324.272              0.9835
             325.813              0.9835
             327.342              0.9912
             328.884              0.9912
             330.425              0.9913
             331.966              0.9913
             333.508              0.9914
             335.049              0.9915
              336.59              0.9915
             338.132              0.9916
             339.661              0.9992
             341.203              0.9993
             342.744              0.9993
             344.297              0.9918
              345.85              0.9843
             347.404              0.9768
             348.945              0.9768
             350.498              0.9693
             352.051              0.9618
             353.604              0.9543
             355.158              0.9468
             356.711              0.9392
             358.264              0.9317
             359.817              0.9242
             361.371              0.9167
             362.924              0.9092
             364.477              0.9017
              366.03              0.8942
             367.583              0.8866
             369.137              0.8791
             370.702               0.864
             372.255              0.8565
             373.808               0.849
             375.361              0.8415
             376.915               0.834
             378.468              0.8264
             380.021              0.8189
             381.562               0.819
             383.116              0.8115
             384.657              0.8115
              386.21               0.804
             387.763              0.7965
             389.305              0.7965
             390.846              0.7966
             392.399              0.7891
             393.941              0.7891
             395.482              0.7892
             397.035              0.7817
             398.576              0.7817
             400.118              0.7818
             401.659              0.7819
               403.2              0.7819
             404.742               0.782
             406.283               0.782
             407.824              0.7821
             409.366              0.7822
             410.907              0.7822
             412.448              0.7823
             414.002              0.7748
             415.543              0.7748
             417.084              0.7749
             418.638              0.7674
             420.179              0.7674
             421.732              0.7599
             423.285              0.7524
             424.827              0.7524
              426.38              0.7449
             427.933              0.7374
             429.474              0.7375
             431.016              0.7375
             432.557              0.7376
             434.098              0.7376
             435.652              0.7301
             437.193              0.7302
             438.734              0.7302
             440.276              0.7303
             441.805              0.7379
             443.346               0.738
             444.888               0.738
             446.429              0.7381
             447.959              0.7457
             449.488              0.7534
             451.029              0.7534
             452.559              0.7611
               454.1              0.7611
             455.618              0.7763
             457.147               0.784
             458.677              0.7916
             460.206              0.7992
             461.736              0.8069
             463.265              0.8145
             464.794              0.8221
             466.324              0.8298
             467.865              0.8298
             469.395              0.8375
             470.936              0.8375
             472.465              0.8451
             473.995              0.8528
             475.536              0.8528
             477.089              0.8453
             478.643              0.8378
             480.196              0.8303
             481.737              0.8304
              483.29              0.8228
             484.844              0.8153
             486.397              0.8078
             487.938              0.8079
             489.491              0.8003
             491.033              0.8004
             492.586              0.7929
             494.127              0.7929
             495.681              0.7854
             497.222              0.7855
             498.763              0.7855
             500.305              0.7856
             501.846              0.7857
             503.387              0.7857
             504.929              0.7858
             506.458              0.7934
             507.999              0.7935
             509.541              0.7935
             511.082              0.7936
             512.611              0.8012
             514.153              0.8013
             515.694              0.8013
             517.235              0.8014
             518.765               0.809
             520.294              0.8167
             521.836              0.8167
             523.365              0.8244
             524.906              0.8244
             526.436               0.832
             527.965              0.8397
             529.507              0.8397
             531.036              0.8474
             532.566               0.855
             534.095              0.8626
             535.625              0.8703
             537.154              0.8779
             538.683              0.8855
             540.213              0.8932
             541.742              0.9008
              543.26               0.916
             544.789              0.9236
             546.319              0.9313
             547.836              0.9465
             549.366              0.9541
             550.895              0.9618
             552.413               0.977
              553.93              0.9922
             555.448              1.0074
             556.966              1.0226
             558.483              1.0378
             560.001               1.053
             561.518              1.0682
             563.048              1.0758
             564.589              1.0759
             566.119              1.0836
             567.672               1.076
             569.201              1.0837
             570.743              1.0837
             572.284              1.0838
             573.837              1.0763
             575.378              1.0763
             576.944              1.0612
             578.497              1.0537
              580.05              1.0462
             581.603              1.0387
             583.168              1.0236
             584.722              1.0161
             586.275              1.0086
             587.816              1.0086
             589.369              1.0011
             590.911              1.0011
             592.464              0.9936
             594.005              0.9937
             595.547              0.9938
             597.088              0.9938
             598.605               1.009
             600.135              1.0167
             601.664              1.0243
             603.182              1.0395
             604.711              1.0471
             606.229              1.0623
             607.747              1.0776
             609.252              1.1003
              610.77              1.1155
             612.275              1.1383
             613.781              1.1611
             615.299              1.1763
             616.804              1.1991
             618.298              1.2295
             619.804              1.2522
              621.31               1.275
             622.815              1.2978
             624.333               1.313
             625.839              1.3358
             627.344              1.3586
             628.862              1.3738
             630.391              1.3814
             631.933              1.3815
             633.474              1.3816
             635.015              1.3816
             636.557              1.3817
              638.11              1.3741
             639.663              1.3666
             641.252              1.3364
             642.888              1.2758
             644.513              1.2229
             646.137              1.1699
              647.75              1.1245
             649.386               1.064
             651.011               1.011
             652.659              0.9429
             654.343               0.852
             655.979              0.7915
             657.675              0.6931
             659.335              0.6174
             660.983              0.5493
             662.608              0.4963
             664.221              0.4509
             665.833              0.4055
             667.434              0.3677
             669.047              0.3223
             670.671              0.2693
              672.26              0.2391
             673.849              0.2088
             675.414              0.1937
             676.979              0.1787
             678.556               0.156
             680.121              0.1409
             681.686              0.1258
             683.251              0.1107
             684.804              0.1032
             686.358              0.0957
             687.911              0.0882
             689.464              0.0806
             691.029              0.0656
             692.582               0.058
             694.136              0.0505
             695.677              0.0506
              697.23              0.0431
             698.771              0.0431
             700.325              0.0356
             701.866              0.0357
             703.419              0.0281
              704.96              0.0282
             706.502              0.0283
             708.043              0.0283
             709.596              0.0208
             711.138              0.0209
             712.691              0.0133
             714.232              0.0134
             715.774              0.0135
             717.315              0.0135
             718.868               0.006
             720.409              0.0061
             721.951              0.0061
             723.492              0.0062
             725.033              0.0062
             726.575              0.0063
             728.116              0.0063
             729.657              0.0064
             731.199              0.0065
             732.752             -0.0011
             734.293              -0.001
             735.835             -0.0009
             737.376             -0.0009
             738.917             -0.0008
             740.459             -0.0008
                 742             -0.0007
             743.541             -0.0006
             745.083             -0.0006
             746.624             -0.0005
             748.165             -0.0005
             749.707             -0.0004
             751.248             -0.0004
             752.789             -0.0003
             754.331             -0.0002
              755.86              0.0074
             757.402              0.0075
             758.943              0.0075
             760.484              0.0076
             762.026              0.0076
             763.579              0.0001
              765.12              0.0002
             766.661              0.0002
             768.203              0.0003
             769.744              0.0003
             771.285              0.0004
             772.815               0.008
             774.368              0.0005
             775.909              0.0006
             777.451              0.0006
             778.992              0.0007
             780.533              0.0008
             782.063              0.0084
             783.616              0.0009
             785.157              0.0009
             786.699               0.001
              788.24              0.0011
             789.781              0.0011
             791.311              0.0087
             792.852              0.0088
             794.394              0.0089
             795.947              0.0013
             797.488              0.0014
             799.029              0.0015
             800.571              0.0015
             802.112              0.0016
             803.653              0.0016
             805.195              0.0017
             806.736              0.0018
             808.277              0.0018
             809.819              0.0019
              811.36              0.0019
             812.901               0.002
             814.443               0.002
             815.984              0.0021
             817.514              0.0097
             819.067              0.0022
             820.608              0.0023
             822.149              0.0023
             823.691              0.0024
             825.232              0.0025
             826.773              0.0025
             828.315              0.0026
             829.856              0.0026
             831.397              0.0027
             832.939              0.0027
              834.48              0.0028
             836.021              0.0029
             837.563              0.0029
             839.104               0.003
             840.645               0.003
             842.187              0.0031
             843.728              0.0032
             845.269              0.0032
             846.811              0.0033
             848.352              0.0033
             849.893              0.0034
             851.435              0.0034
             852.976              0.0035
             854.517              0.0036
             856.059              0.0036
               857.6              0.0037
             859.141              0.0037
             860.683              0.0038
             862.224              0.0039
             863.765              0.0039
             865.307               0.004
             866.848               0.004
             868.389              0.0041
             869.931              0.0041
             871.472              0.0042
             873.013              0.0043
             874.555              0.0043
             876.096              0.0044
             877.637              0.0044
             879.179              0.0045
              880.72              0.0046
             882.261              0.0046
             883.803              0.0047
             885.344              0.0047
             886.886              0.0048
             888.427              0.0048
             889.968              0.0049
              891.51               0.005
             893.051               0.005
             894.592              0.0051
             896.134              0.0051
             897.675              0.0052
             899.216              0.0053
             900.758              0.0053
             902.299              0.0054
              903.84              0.0054
             905.382              0.0055
             906.923              0.0055
             908.464              0.0056
             910.006              0.0057
             911.547              0.0057
             913.088              0.0058
              914.63              0.0058
             916.171              0.0059
             917.712               0.006
             919.254               0.006
             920.795              0.0061
             922.336              0.0061
             923.878              0.0062
             925.419              0.0062
              926.96              0.0063
             928.502              0.0064
             930.043              0.0064
             931.584              0.0065
