#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              3293.5           0.007548
              3288.3           0.008766
                3283           0.002186
              3277.7          -0.003472
              3272.5          -0.000485
              3267.2           0.004076
              3261.9           0.004937
              3256.7           0.004179
              3251.4          -0.000101
              3246.1           0.001560
              3240.9           0.002088
              3235.6           0.004887
              3230.3           0.008983
              3225.1           0.002234
              3219.8          -0.005109
              3214.6          -0.003727
              3209.3          -0.003124
                3204           0.001925
              3198.8           0.007240
              3193.5           0.004531
              3188.2          -0.000816
                3183          -0.002108
              3177.7           0.000785
              3172.4          -0.000545
              3167.2          -0.007564
              3161.9          -0.005812
              3156.7          -0.001273
              3151.4           0.000707
              3146.1           0.003020
              3140.9           0.002789
              3135.6          -0.003054
              3130.4          -0.006697
              3125.1          -0.001698
              3119.8           0.000671
              3114.6          -0.004761
              3109.3          -0.006691
                3104          -0.008724
              3098.8          -0.010697
              3093.5          -0.002832
              3088.3           0.003026
                3083          -0.001035
              3077.8          -0.002756
              3072.5           0.001278
              3067.2           0.002145
                3062          -0.002044
              3056.7          -0.005834
              3051.5          -0.004508
              3046.2           0.000661
              3040.9           0.000980
              3035.7          -0.002160
              3030.4          -0.001816
              3025.2           0.002076
              3019.9           0.005527
              3014.7           0.001110
              3009.4          -0.004423
              3004.1          -0.001707
              2998.9           0.000871
              2993.6           0.000057
              2988.4          -0.002968
              2983.1          -0.003605
              2977.9           0.001417
              2972.6           0.008181
              2967.3           0.004606
              2962.1          -0.004638
              2956.8          -0.004840
              2951.6          -0.002085
              2946.3           0.000664
              2941.1           0.002776
              2935.8           0.003682
              2930.6           0.006390
              2925.3           0.000416
              2920.1          -0.004577
              2914.8          -0.003100
              2909.5           0.000347
              2904.3           0.002798
                2899          -0.001049
              2893.8          -0.000856
              2888.5           0.002488
              2883.3          -0.004252
                2878          -0.009663
              2872.8          -0.010558
              2867.5          -0.008651
              2862.3          -0.002129
                2857          -0.000706
              2851.8          -0.001908
              2846.5           0.004657
              2841.3           0.009063
                2836           0.000658
              2830.8          -0.007310
              2825.5          -0.005662
              2820.3          -0.003009
                2815           0.003802
              2809.8           0.005563
              2804.5           0.003767
              2799.3           0.005127
                2794           0.008798
              2788.8           0.009144
              2783.5           0.002909
              2778.3           0.000784
                2773           0.003627
              2767.8           0.005292
              2762.5           0.005837
              2757.3           0.004709
                2752           0.005359
              2746.8           0.010511
              2741.5           0.007984
              2736.3           0.000626
                2731           0.004218
              2725.8           0.006828
              2720.5           0.002902
              2715.3           0.001759
              2710.1           0.001594
              2704.8          -0.001955
              2699.6           0.000034
              2694.3          -0.000108
              2689.1          -0.003979
              2683.8          -0.005615
              2678.6          -0.003933
              2673.3          -0.000172
              2668.1           0.000297
              2662.8          -0.003359
              2657.6          -0.000447
              2652.4           0.005909
              2647.1           0.004296
              2641.9           0.000785
              2636.6           0.002010
              2631.4          -0.000239
              2626.1           0.001892
              2620.9           0.004517
              2615.6           0.000017
              2610.4          -0.005155
              2605.2          -0.003147
              2599.9           0.002961
              2594.7           0.004370
              2589.4           0.000903
              2584.2           0.001207
              2578.9          -0.000302
              2573.7           0.000045
              2568.5          -0.000214
              2563.2          -0.002858
                2558           0.001604
              2552.7           0.009004
              2547.5           0.007953
              2542.3           0.001421
                2537          -0.001805
              2531.8           0.003765
              2526.5           0.001930
              2521.3          -0.004664
              2516.1          -0.006327
              2510.8          -0.002328
              2505.6           0.001802
              2500.3          -0.000360
              2495.1          -0.003977
              2489.9          -0.002722
              2484.6          -0.002227
              2479.4          -0.001662
              2474.1          -0.002994
              2468.9          -0.007015
              2463.7          -0.007603
              2458.4          -0.000431
              2453.2           0.003214
                2448           0.003738
              2442.7           0.003904
              2437.5           0.001403
              2432.2          -0.000440
                2427           0.002732
              2421.8           0.006683
              2416.5           0.003943
              2411.3           0.000096
              2406.1           0.000329
              2400.8          -0.000200
              2395.6          -0.000566
              2390.4          -0.000759
              2385.1          -0.003693
              2379.9          -0.008907
              2374.7          -0.007282
              2369.4           0.000451
              2364.2           0.004002
              2358.9           0.003443
              2353.7           0.005608
              2348.5           0.003667
              2343.2          -0.003707
                2338          -0.007625
              2332.8          -0.007588
              2327.5          -0.004401
              2322.3          -0.002364
              2317.1          -0.006316
              2311.8          -0.005558
              2306.6          -0.002598
              2301.4          -0.002058
              2296.2          -0.004909
              2290.9          -0.003624
              2285.7          -0.000251
              2280.5          -0.001793
              2275.2          -0.000561
                2270           0.003112
              2264.8           0.001098
              2259.5          -0.002247
              2254.3          -0.004269
              2249.1          -0.003771
              2243.8          -0.000024
              2238.6           0.004967
              2233.4           0.003224
              2228.1          -0.000937
              2222.9           0.004316
              2217.7           0.006702
              2212.5          -0.006055
              2207.2          -0.001832
                2202           0.018533
              2196.8           0.023641
              2191.5           0.014541
              2186.3           0.005232
              2181.1           0.012078
              2175.9           0.019983
              2170.6           0.014271
              2165.4          -0.000583
              2160.2          -0.012999
                2155          -0.004417
              2149.7           0.003650
              2144.5          -0.007337
              2139.3           0.000290
                2134           0.004272
              2128.8           0.000457
              2123.6          -0.000963
              2118.4          -0.003731
              2113.1          -0.005215
              2107.9          -0.000942
              2102.7          -0.000827
              2097.5           0.004078
              2092.2           0.007419
                2087           0.003225
              2081.8          -0.000683
              2076.6          -0.000860
              2071.3           0.002738
              2066.1           0.002012
              2060.9          -0.002510
              2055.7          -0.000075
              2050.4          -0.003039
              2045.2          -0.008544
                2040          -0.000288
              2034.8           0.007142
              2029.5           0.006641
              2024.3           0.004892
              2019.1           0.002997
              2013.9           0.001513
              2008.7           0.000422
              2003.4          -0.001390
              1998.2          -0.001582
                1993          -0.000138
              1987.8           0.004793
              1982.6           0.003387
              1977.3          -0.001349
              1972.1          -0.000993
              1966.9          -0.004229
              1961.7          -0.004607
              1956.4           0.003288
              1951.2           0.002909
                1946          -0.004231
              1940.8          -0.004676
              1935.6          -0.000972
              1930.3          -0.001443
              1925.1          -0.000235
              1919.9           0.003519
              1914.7           0.006794
              1909.5           0.004846
              1904.3           0.000731
                1899           0.000682
              1893.8          -0.000100
              1888.6          -0.007741
              1883.4          -0.012091
              1878.2          -0.005177
              1872.9           0.003696
              1867.7           0.003699
              1862.5          -0.001831
              1857.3          -0.007542
              1852.1          -0.009054
              1846.9          -0.003777
              1841.6           0.004156
              1836.4           0.003484
              1831.2          -0.001174
                1826           0.003358
              1820.8           0.005384
              1815.6          -0.000804
              1810.3           0.002569
              1805.1           0.004887
              1799.9          -0.000818
              1794.7          -0.005982
              1789.5          -0.005510
              1784.3           0.001613
              1779.1           0.004192
              1773.8           0.002308
              1768.6           0.001452
              1763.4           0.000576
              1758.2          -0.003392
                1753          -0.005750
              1747.8          -0.000110
              1742.6           0.003283
              1737.4          -0.001969
              1732.1          -0.007112
              1726.9          -0.003545
              1721.7          -0.002112
              1716.5          -0.004835
              1711.3          -0.004883
              1706.1          -0.005157
              1700.9          -0.005548
              1695.7          -0.001082
              1690.4           0.000502
              1685.2          -0.003862
                1680          -0.007567
              1674.8          -0.006649
              1669.6          -0.001235
              1664.4           0.005245
              1659.2           0.006682
                1654           0.004403
              1648.8          -0.000344
              1643.6          -0.005335
              1638.3          -0.002037
              1633.1           0.007962
              1627.9           0.011709
              1622.7           0.007354
              1617.5           0.004235
              1612.3           0.004943
              1607.1           0.002117
              1601.9           0.001419
              1596.7           0.005452
              1591.5           0.006448
              1586.3           0.005971
              1581.1           0.003882
              1575.8          -0.000879
              1570.6          -0.003426
              1565.4          -0.001657
              1560.2          -0.000050
                1555           0.000331
              1549.8           0.002716
              1544.6           0.001702
              1539.4           0.000195
              1534.2          -0.004713
                1529          -0.008379
              1523.8          -0.006474
              1518.6          -0.004789
              1513.4          -0.003784
              1508.2          -0.002067
                1503          -0.001090
              1497.8          -0.002933
              1492.6          -0.000470
              1487.3           0.006494
              1482.1           0.006438
              1476.9           0.005436
              1471.7           0.005041
              1466.5           0.004565
              1461.3           0.006068
              1456.1           0.007772
              1450.9           0.006300
              1445.7           0.004132
              1440.5           0.006355
              1435.3           0.013355
              1430.1           0.011468
              1424.9           0.003195
              1419.7          -0.001063
              1414.5          -0.003660
              1409.3          -0.003955
              1404.1           0.001147
              1398.9           0.006503
              1393.7           0.007028
              1388.5          -0.001763
              1383.3          -0.007917
              1378.1          -0.005536
              1372.9           0.001726
              1367.7           0.000964
              1362.5          -0.008101
              1357.3          -0.007464
              1352.1          -0.000205
              1346.9           0.001816
              1341.7           0.001243
              1336.5           0.001738
              1331.3           0.003288
              1326.1           0.000081
              1320.9          -0.003946
              1315.7          -0.002708
              1310.5          -0.003405
              1305.3          -0.002999
              1300.1           0.006139
              1294.9           0.010619
              1289.7           0.006632
              1284.5           0.006021
              1279.3           0.006316
              1274.1           0.000700
              1268.9          -0.000521
              1263.7           0.002262
              1258.5           0.009283
              1253.3           0.013021
              1248.1           0.008377
                1243           0.003517
              1237.8           0.001947
              1232.6          -0.004636
              1227.4          -0.008100
              1222.2           0.002349
                1217           0.010230
              1211.8           0.003938
              1206.6          -0.000735
              1201.4          -0.002245
              1196.2          -0.003116
                1191           0.001171
              1185.8           0.003091
              1180.6          -0.004069
              1175.4          -0.006619
              1170.2          -0.004053
                1165          -0.002362
              1159.8          -0.002550
              1154.7          -0.002409
              1149.5          -0.006387
              1144.3          -0.006534
              1139.1          -0.000433
              1133.9           0.004742
              1128.7           0.003486
              1123.5          -0.000599
              1118.3           0.001969
              1113.1           0.004343
              1107.9           0.001507
              1102.7          -0.001419
              1097.5          -0.002804
              1092.4           0.002509
              1087.2          -0.002682
                1082          -0.011253
              1076.8          -0.005702
              1071.6          -0.000121
              1066.4          -0.006965
              1061.2          -0.005941
                1056           0.002243
              1050.8           0.002111
              1045.6          -0.007314
              1040.5          -0.010148
              1035.3          -0.006778
              1030.1          -0.005187
              1024.9          -0.007119
              1019.7          -0.000807
              1014.5           0.004091
              1009.3          -0.000239
              1004.1          -0.002517
                 999           0.003313
               993.8           0.010450
               988.6           0.010821
               983.4           0.004356
               978.2           0.001777
                 973           0.001714
               967.8           0.001276
               962.6           0.002693
               957.5           0.000585
               952.3          -0.002082
               947.1          -0.000086
               941.9          -0.000511
               936.7          -0.007082
               931.5          -0.009585
               926.3           0.000992
               921.2           0.003419
                 916          -0.007800
               910.8          -0.010348
               905.6          -0.004018
               900.4          -0.003211
               895.2          -0.002268
               890.1           0.001823
               884.9           0.006784
               879.7           0.008092
               874.5           0.001566
               869.3          -0.003486
               864.1          -0.007787
                 859          -0.012115
               853.8          -0.008225
               848.6          -0.002346
               843.4           0.000119
               838.2           0.000525
               833.1           0.006162
               827.9           0.006522
               822.7          -0.004449
               817.5          -0.012038
               812.3          -0.008721
               807.1           0.003794
                 802           0.007727
               796.8           0.000310
               791.6           0.000239
               786.4           0.004608
               781.2           0.000246
               776.1           0.001717
               770.9           0.014509
               765.7           0.021145
               760.5           0.020020
               755.4           0.018082
               750.2           0.017713
                 745           0.023032
               739.8           0.044622
               734.6           0.058736
               729.5           0.073566
               724.3           0.100972
               719.1           0.135582
               713.9           0.189439
               708.7           0.284172
               703.6           0.475458
               698.4           0.850269
               693.2           1.561505
                 688           2.809132
               682.9           4.454584
               677.7           5.878380
               672.5           6.668508
               667.3           7.047778
               662.2           7.311615
                 657           7.508038
               651.8           7.572837
               646.6           7.338046
               641.5           6.621751
               636.3           5.384514
               631.1           3.854395
               625.9           2.434221
               620.8           1.400418
               615.6           0.765692
               610.4           0.416498
               605.2           0.240205
               600.1           0.150240
               594.9           0.104477
               589.7           0.062566
               584.5           0.034443
               579.4           0.022555
               574.2           0.010629
                 569           0.001774
               563.9          -0.001187
               558.7           0.000352
               553.5           0.004998
               548.3           0.005039
               543.2          -0.000650
                 538          -0.004589
               532.8          -0.003884
               527.7          -0.002874
               522.5          -0.003520
               517.3          -0.003874
               512.1          -0.001840
                 507           0.000203
               501.8           0.000590
               496.6           0.002390
               491.5           0.008404
               486.3           0.006942
               481.1           0.001106
                 476           0.003316
               470.8           0.006770
               465.6           0.001516
               460.4          -0.000114
               455.3           0.003156
               450.1           0.003515
               444.9          -0.005285
               439.8          -0.008603
               434.6           0.000628
               429.4           0.006309
               424.3           0.001985
               419.1          -0.001204
               413.9           0.001511
               408.8           0.007295
               403.6           0.007089
               398.4           0.000340
               393.3          -0.007373
               388.1          -0.010160
               382.9          -0.009230
               377.8          -0.007321
               372.6          -0.005311
               367.4          -0.002211
               362.3           0.003037
               357.1           0.008825
               351.9           0.002315
               346.8          -0.003171
               341.6          -0.000457
               336.4          -0.001520
               331.3          -0.006657
               326.1          -0.004073
                 321          -0.002068
               315.8          -0.002830
               310.6           0.000444
               305.5           0.001671
               300.3           0.001827
               295.1           0.005924
                 290           0.005269
               284.8           0.005874
               279.6           0.004554
               274.5           0.000941
               269.3           0.002588
               264.2           0.005368
                 259           0.005186
               253.8           0.005590
               248.7           0.003973
               243.5           0.000960
               238.4          -0.005003
               233.2          -0.007323
                 228           0.000025
               222.9           0.003617
               217.7           0.003719
               212.6           0.007852
               207.4           0.008130
               202.2           0.002114
               197.1          -0.006037
               191.9          -0.007699
               186.8           0.001546
               181.6           0.006140
               176.4           0.002032
               171.3           0.000597
               166.1          -0.003661
                 161          -0.009614
               155.8          -0.006962
               150.6          -0.002731
               145.5          -0.000174
               140.3           0.006814
               135.2           0.004688
                 130          -0.002729
               124.9          -0.002063
               119.7          -0.002437
