#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
               -26.4           0.532000
               -24.3           0.340900
               -22.3           0.652400
               -20.2           0.687400
               -18.2           0.995400
               -16.1           0.431800
                 -14           0.256800
                 -12           0.844200
                -9.9           0.761300
                -7.9           0.720200
                -5.8           0.628000
                -3.7           0.313700
                -1.7           0.283000
                 0.4           0.080000
                 2.5          -0.089800
                 4.5          -0.148400
                 6.6          -0.120300
                 8.6          -0.075300
                10.7          -0.149200
                12.8          -0.160800
                14.8          -0.103700
                16.9          -0.205600
                18.9          -0.143800
                  21          -0.167800
                23.1          -0.112100
                25.1          -0.112900
                27.2          -0.104100
                29.3          -0.068100
                31.3          -0.105200
                33.4          -0.159900
                35.4          -0.051800
                37.5          -0.064500
                39.6          -0.111900
                41.6          -0.123700
                43.7          -0.081100
                45.7          -0.095100
                47.8          -0.082400
                49.9          -0.084300
                51.9          -0.067000
                  54          -0.108400
                56.1          -0.026600
                58.1          -0.041600
                60.2          -0.080400
                62.2          -0.015200
                64.3          -0.090100
                66.4          -0.053500
                68.4          -0.036400
                70.5          -0.025500
                72.6          -0.032100
                74.6          -0.012300
                76.7          -0.030200
                78.7          -0.081800
                80.8          -0.025200
                82.9          -0.044600
                84.9           0.001100
                  87          -0.015100
                  89          -0.046500
                91.1          -0.031700
                93.2          -0.040300
                95.2          -0.068500
                97.3          -0.050700
                99.4          -0.014200
               101.4          -0.038000
               103.5          -0.016700
               105.5          -0.012600
               107.6          -0.043400
               109.7          -0.046700
               111.7          -0.040300
               113.8          -0.022800
               115.9          -0.045700
               117.9          -0.019400
                 120          -0.004600
                 122          -0.035100
               124.1          -0.018800
               126.2          -0.048000
               128.2          -0.038800
               130.3          -0.027800
               132.4          -0.013800
               134.4          -0.013900
               136.5          -0.019000
               138.6          -0.017800
               140.6          -0.010900
               142.7          -0.006100
               144.7          -0.021900
               146.8          -0.024400
               148.9          -0.060600
               150.9          -0.030100
                 153          -0.044400
               155.1          -0.057200
               157.1          -0.044500
               159.2          -0.050000
               161.2           0.014000
               163.3          -0.011200
               165.4          -0.046500
               167.4          -0.024000
               169.5           0.002500
               171.6          -0.026600
               173.6          -0.032200
               175.7          -0.029400
               177.8          -0.015900
               179.8          -0.018600
               181.9           0.013900
               183.9          -0.049100
                 186           0.007800
               188.1           0.008700
               190.1          -0.053100
               192.2          -0.016100
               194.3          -0.003400
               196.3          -0.016000
               198.4          -0.023700
               200.5          -0.003400
               202.5          -0.012900
               204.6          -0.061100
               206.6          -0.038000
               208.7          -0.034700
               210.8          -0.002200
               212.8           0.007400
               214.9          -0.042200
