#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              -652.4           0.440800
              -648.3          -0.329100
              -644.2           0.382200
              -640.1          -0.525100
                -636           0.263800
              -631.9          -0.406000
              -627.8           0.257000
              -623.7          -0.333800
              -619.6           0.143000
              -615.5          -0.160300
              -611.4           0.253300
              -607.2          -0.146400
              -603.1           0.109500
                -599          -0.146200
              -594.9           0.155800
              -590.8          -0.154900
              -586.7           0.004190
              -582.6          -0.135100
              -578.5           0.112500
              -574.4          -0.111600
              -570.3           0.069150
              -566.2          -0.085900
              -562.1           0.064340
                -558          -0.016190
              -553.9          -0.016490
              -549.8          -0.036430
              -545.6           0.067930
              -541.5          -0.074400
              -537.4           0.018450
              -533.3          -0.029860
              -529.2           0.036830
              -525.1          -0.017340
                -521           0.031370
              -516.9          -0.046880
              -512.8           0.028800
              -508.7          -0.016580
              -504.6          -0.004670
              -500.5          -0.028200
              -496.4           0.023560
              -492.2          -0.039060
              -488.1           0.005110
                -484          -0.021680
              -479.9           0.052100
              -475.8          -0.031500
              -471.7           0.022580
              -467.6          -0.031360
              -463.5          -0.009970
              -459.4          -0.010370
              -455.3           0.010580
              -451.2          -0.050290
                -447          -0.013600
              -442.9          -0.025440
              -438.8           0.024760
              -434.7          -0.040300
              -430.6           0.010180
              -426.5          -0.025230
              -422.4           0.016420
              -418.3          -0.017710
              -414.2          -0.029650
                -410          -0.032340
              -405.9          -0.021280
              -401.8          -0.005950
              -397.7          -0.001510
              -393.6          -0.053630
              -389.5           0.032910
              -385.4          -0.014880
              -381.3           0.035270
              -377.2          -0.014580
                -373           0.012210
              -368.9          -0.031160
              -364.8           0.037140
              -360.7          -0.006600
              -356.6           0.024660
              -352.5           0.020510
              -348.4           0.010620
              -344.3          -0.007150
              -340.1          -0.021730
                -336           0.003490
              -331.9           0.012030
              -327.8          -0.028750
              -323.7          -0.052600
              -319.6          -0.017870
              -315.5           0.015840
              -311.3          -0.004470
              -307.2           0.024500
              -303.1          -0.020190
                -299           0.022070
              -294.9          -0.022450
              -290.8          -0.006900
              -286.7          -0.011500
              -282.6          -0.013370
              -278.4           0.023390
              -274.3           0.026310
              -270.2           0.020850
              -266.1           0.051970
                -262           0.029150
              -257.9           0.051630
              -253.7          -0.016770
              -249.6           0.056710
              -245.5          -0.026130
              -241.4          -0.029450
              -237.3          -0.030830
              -233.2           0.036720
              -229.1           0.001460
              -224.9           0.043190
              -220.8           0.005510
              -216.7           0.053990
              -212.6          -0.040020
              -208.5           0.029790
