#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
            -298.613             -0.0143
            -294.542             -0.0128
            -290.481             -0.0099
            -286.441             -0.0041
            -282.401              0.0017
            -278.361              0.0075
            -274.301              0.0104
             -270.24              0.0133
            -266.158              0.0133
            -262.066              0.0119
            -257.953              0.0075
            -253.851              0.0046
            -249.738              0.0003
            -245.625             -0.0041
            -241.523              -0.007
             -237.41             -0.0113
            -233.328             -0.0113
            -229.236             -0.0127
            -225.165             -0.0113
            -221.083             -0.0113
            -217.023             -0.0084
            -212.962             -0.0055
            -208.901             -0.0026
             -204.84              0.0003
             -200.78              0.0032
            -196.719              0.0061
            -192.648              0.0076
            -188.566              0.0076
            -184.474              0.0061
            -180.382              0.0047
             -176.29              0.0032
            -172.188              0.0003
            -168.085             -0.0025
            -163.993              -0.004
             -159.88             -0.0083
            -155.767             -0.0127
            -151.665             -0.0156
            -147.573              -0.017
            -143.481             -0.0185
             -139.42             -0.0156
            -135.359             -0.0127
            -131.299             -0.0098
            -127.238             -0.0069
            -123.177              -0.004
            -119.095              -0.004
            -115.003             -0.0054
            -110.922             -0.0054
             -106.83             -0.0068
            -102.748             -0.0068
             -98.667             -0.0068
             -94.564             -0.0097
             -90.472             -0.0112
              -86.38             -0.0126
             -82.288             -0.0141
             -78.207             -0.0141
             -74.146             -0.0112
             -70.095             -0.0068
             -66.045             -0.0025
             -61.995              0.0019
             -57.923              0.0033
             -53.852              0.0048
              -49.76              0.0034
             -45.658              0.0005
             -41.555             -0.0024
             -37.453             -0.0053
             -33.361             -0.0068
             -29.258             -0.0097
             -25.166             -0.0111
             -21.074             -0.0126
             -16.982              -0.014
              -12.89             -0.0155
              -8.788             -0.0183
              -4.696             -0.0198
              -0.604             -0.0212
               3.467             -0.0198
               7.559             -0.0212
              11.641             -0.0212
              15.712             -0.0198
              19.783             -0.0183
              23.855             -0.0169
              27.926             -0.0154
              31.976             -0.0111
              36.037             -0.0082
              40.098             -0.0053
              44.138              0.0005
              48.209               0.002
               52.27              0.0049
              56.341              0.0064
              60.422              0.0064
              64.504              0.0064
              68.606              0.0035
              72.688              0.0035
               76.78               0.002
              80.872              0.0006
              84.964             -0.0009
              89.046             -0.0009
              93.138             -0.0023
               97.23             -0.0038
             101.311             -0.0038
             105.393             -0.0037
             109.464             -0.0023
             113.535             -0.0008
             117.606              0.0006
             121.678              0.0021
              125.77              0.0006
             129.862             -0.0008
             133.975             -0.0052
             138.098              -0.011
               142.2             -0.0139
             146.292             -0.0153
             150.384             -0.0168
             154.455             -0.0153
             158.506             -0.0109
             162.546             -0.0051
             166.575              0.0021
             170.605              0.0094
             174.624              0.0181
             178.622              0.0297
               182.6              0.0441
             186.598              0.0557
             190.555              0.0731
             194.501               0.092
             198.437              0.1123
             202.352              0.1355
             206.256              0.1601
              210.14              0.1877
             214.076              0.2079
             217.981              0.2326
             221.906              0.2543
             225.873              0.2703
             229.851              0.2848
             233.828              0.2993
             237.889              0.3022
             242.002              0.2978
             246.146              0.2891
              250.29              0.2804
             254.424              0.2732
             258.568              0.2645
             262.701              0.2573
             266.845              0.2486
             270.989              0.2399
             275.113              0.2341
             279.205              0.2326
             283.297              0.2312
             287.368              0.2326
             291.439              0.2341
              295.49              0.2385
              299.55              0.2414
             303.621              0.2428
             307.724              0.2399
             311.826               0.237
             315.939              0.2327
             320.052              0.2283
             324.165               0.224
             328.278              0.2196
              332.38              0.2167
             336.493              0.2124
             340.595              0.2095
             344.687              0.2081
             348.759              0.2095
             352.819              0.2124
              356.87              0.2168
              360.91              0.2226
              364.95              0.2284
              368.99              0.2342
              373.03                0.24
             377.038              0.2501
             381.057              0.2588
             385.066               0.269
             389.085              0.2777
             393.042              0.2951
             397.061              0.3038
             401.101              0.3096
             405.203              0.3067
             409.379              0.2936
             413.606              0.2733
             417.875              0.2473
             422.092              0.2284
             426.382              0.1994
             430.703              0.1661
             434.962              0.1415
              439.22              0.1168
             443.489              0.0908
             447.748              0.0661
             452.007              0.0415
             456.203              0.0256
             460.368               0.014
             464.522              0.0038
             468.697             -0.0092
             472.789             -0.0107
             476.871             -0.0107
             480.932             -0.0078
             485.003             -0.0063
             489.095             -0.0077
             493.187             -0.0092
             497.289             -0.0121
             501.382             -0.0135
             505.474              -0.015
             509.555              -0.015
             513.626             -0.0135
             517.687             -0.0106
             521.737             -0.0063
             525.788             -0.0019
             529.859             -0.0005
             533.909              0.0039
             537.981              0.0053
             542.073              0.0039
             546.175               0.001
             550.257               0.001
             554.349             -0.0004
              558.42               0.001
             562.501               0.001
             566.562              0.0039
             570.633              0.0054
             574.715              0.0054
             578.797              0.0054
             582.878              0.0054
              586.96              0.0054
             591.041              0.0054
             595.113              0.0068
             599.194              0.0068
             603.276              0.0068
             607.347              0.0083
             611.439              0.0069
             615.531              0.0054
             619.634              0.0025
             623.736             -0.0004
             627.849             -0.0047
             631.951             -0.0076
             636.054             -0.0105
             640.146              -0.012
             644.227              -0.012
             648.288             -0.0091
             652.349             -0.0062
              656.42             -0.0047
             660.481             -0.0018
