#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
            -600.776             -0.0108
            -596.701             -0.0108
            -592.647             -0.0053
            -588.593              0.0002
            -584.526               0.002
            -580.472              0.0075
            -576.411              0.0112
            -572.357              0.0166
            -568.282              0.0166
            -564.194               0.013
            -560.105              0.0093
             -556.01              0.0039
            -551.921              0.0002
            -547.833             -0.0034
            -543.737             -0.0089
            -539.662             -0.0089
            -535.588             -0.0089
             -531.52             -0.0071
            -527.445             -0.0071
            -523.384             -0.0034
             -519.31             -0.0034
            -515.242             -0.0016
            -511.167             -0.0016
            -507.086             -0.0034
            -502.997              -0.007
            -498.909             -0.0107
            -494.827             -0.0125
            -490.738             -0.0162
             -486.65             -0.0198
            -482.568             -0.0216
            -478.494             -0.0216
            -474.433              -0.018
            -470.372             -0.0143
            -466.318             -0.0088
            -462.257             -0.0052
            -458.189             -0.0034
            -454.128              0.0003
            -450.061              0.0021
            -445.986              0.0021
            -441.911              0.0021
            -437.844               0.004
            -433.776              0.0058
            -429.701              0.0058
            -425.633              0.0076
            -421.559              0.0076
            -417.491              0.0095
            -413.416              0.0095
            -409.348              0.0113
            -405.281              0.0131
            -401.206              0.0131
             -397.11              0.0076
            -393.015              0.0022
            -388.926             -0.0015
            -384.838             -0.0051
            -380.749             -0.0088
            -376.668             -0.0106
              -372.6             -0.0088
            -368.525             -0.0088
            -364.444             -0.0106
            -360.362             -0.0124
            -356.281             -0.0142
            -352.199             -0.0161
            -348.124             -0.0161
            -344.063             -0.0124
            -340.003             -0.0087
            -335.955             -0.0014
            -331.902               0.004
            -327.848              0.0095
            -323.787              0.0132
            -319.712              0.0132
             -315.63              0.0114
            -311.549              0.0095
            -307.467              0.0077
            -303.393              0.0077
            -299.325              0.0095
             -295.25              0.0096
            -291.182              0.0114
            -287.101              0.0096
            -282.998              0.0023
             -278.91             -0.0014
            -274.807             -0.0087
            -270.726             -0.0105
             -266.63              -0.016
            -262.535             -0.0215
            -258.446             -0.0251
            -254.379             -0.0233
            -250.311             -0.0215
             -246.25             -0.0178
            -242.182              -0.016
