#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              -453.8           0.171600
              -449.7           0.024000
              -445.6           0.406100
              -441.5          -0.152600
              -437.4           0.501700
              -433.2           0.095990
              -429.1           0.355400
                -425           0.066960
              -420.9           0.299200
              -416.8           0.066130
              -412.7           0.289000
              -408.6           0.034570
              -404.5           0.182400
              -400.4           0.075110
              -396.3           0.157800
              -392.1          -0.024690
                -388           0.201800
              -383.9           0.021670
              -379.8           0.112100
              -375.7           0.035860
              -371.6           0.160600
              -367.5           0.091440
              -363.4           0.129900
              -359.2           0.109700
              -355.1           0.049590
                -351          -0.008610
              -346.9           0.136200
              -342.8           0.041420
              -338.7           0.137500
              -334.6           0.031500
              -330.5           0.089520
              -326.3           0.061700
              -322.2           0.035560
              -318.1           0.006200
                -314           0.054620
              -309.9           0.062270
              -305.8           0.073980
              -301.7           0.057830
              -297.5           0.029050
              -293.4           0.098950
              -289.3           0.096080
              -285.2           0.082060
              -281.1           0.068670
                -277           0.052230
              -272.9           0.065420
              -268.7           0.057060
              -264.6           0.023510
              -260.5           0.039880
              -256.4           0.043570
              -252.3           0.057820
              -248.2           0.070770
              -244.1           0.022270
              -239.9           0.026140
              -235.8           0.026990
              -231.7           0.087830
              -227.6           0.030860
              -223.5           0.061870
              -219.4           0.011480
              -215.2           0.057390
              -211.1           0.011330
                -207           0.043030
              -202.9           0.051490
              -198.8           0.067110
              -194.7           0.050160
              -190.5           0.042480
              -186.4           0.039610
              -182.3           0.044130
              -178.2           0.068740
              -174.1           0.065160
                -170          -0.022400
              -165.8           0.084450
              -161.7          -0.009650
              -157.6           0.059990
              -153.5           0.040380
              -149.4           0.028970
              -145.2           0.009240
              -141.1           0.020520
                -137          -0.044280
              -132.9          -0.084900
              -128.8          -0.099600
              -124.7          -0.118500
              -120.5          -0.132600
              -116.4          -0.137600
              -112.3          -0.140700
              -108.2          -0.065300
              -104.1          -0.082900
               -99.9          -0.069100
               -95.8          -0.084500
               -91.7          -0.053300
               -87.6          -0.082000
               -83.5          -0.056100
               -79.3          -0.004860
               -75.2           0.000730
               -71.1          -0.049330
                 -67           0.006200
               -62.9          -0.069700
               -58.7           0.038080
               -54.6          -0.054400
               -50.5          -0.103400
               -46.4          -0.324800
               -42.3          -0.465100
               -38.1          -0.630700
                 -34          -0.424600
               -29.9          -0.239000
               -25.8          -0.088800
               -21.6          -0.034750
               -17.5           0.288000
               -13.4           0.799100
                -9.3           1.546000
                -5.2           1.777000
                  -1          -0.203400
                 3.1          -1.589000
                 7.2          -1.880000
                11.3          -0.760400
                15.5          -0.486000
                19.6          -0.196000
                23.7          -0.128800
                27.8          -0.064900
                31.9          -0.091500
                36.1          -0.039560
                40.2          -0.038700
                44.3          -0.016490
                48.4          -0.033670
                52.6           0.005350
                56.7          -0.070700
                60.8          -0.036360
                64.9          -0.042920
                69.1          -0.019090
                73.2          -0.046050
                77.3          -0.062900
                81.4          -0.043230
                85.6          -0.057700
                89.7          -0.040260
                93.8          -0.051200
                97.9          -0.058000
               102.1           0.006920
               106.2          -0.034730
               110.3          -0.043100
               114.4          -0.076300
               118.6          -0.007980
               122.7          -0.046950
               126.8          -0.027920
               130.9          -0.088300
               135.1          -0.040930
               139.2          -0.042790
               143.3          -0.050300
               147.4          -0.024270
               151.6          -0.036740
               155.7          -0.004140
               159.8          -0.024880
               163.9          -0.025310
               168.1          -0.063600
               172.2          -0.013770
               176.3          -0.048200
               180.5          -0.023630
               184.6          -0.071800
               188.7          -0.035840
               192.8          -0.062500
                 197          -0.064700
               201.1          -0.037340
               205.2          -0.024590
               209.3          -0.066000
               213.5          -0.050500
               217.6          -0.042240
               221.7          -0.049420
               225.9          -0.022880
                 230          -0.021370
               234.1          -0.032310
               238.2          -0.014320
               242.4          -0.067800
               246.5          -0.057000
               250.6          -0.014830
               254.8          -0.084900
               258.9          -0.095600
                 263          -0.045320
               267.2          -0.028960
               271.3          -0.036500
               275.4          -0.032290
               279.5          -0.052600
               283.7          -0.063600
               287.8          -0.064000
               291.9          -0.046830
               296.1          -0.064700
               300.2          -0.031970
               304.3          -0.025330
               308.5          -0.050300
               312.6          -0.033910
               316.7          -0.064800
               320.8          -0.039710
                 325          -0.006080
               329.1           0.041720
               333.2           0.099040
               337.4           0.169500
               341.5           0.211300
               345.6           0.249300
               349.8           0.339300
               353.9           0.390100
                 358           0.462300
               362.2           0.374000
               366.3           0.364300
               370.4           0.333800
               374.6           0.316200
               378.7           0.276000
               382.8           0.277700
                 387           0.278800
               391.1           0.262800
               395.2           0.302300
               399.4           0.295600
               403.5           0.213700
               407.6           0.212400
               411.8           0.225000
               415.9           0.194500
                 420           0.158700
               424.2           0.177400
               428.3           0.140700
               432.4           0.136000
               436.6           0.194800
               440.7           0.153300
               444.8           0.166200
                 449           0.122300
               453.1           0.108200
               457.2           0.107200
               461.4           0.131900
               465.5           0.112800
               469.6           0.081680
               473.8           0.132600
               477.9           0.101100
                 482           0.142100
               486.2           0.131100
               490.3           0.098650
               494.5           0.149000
               498.6           0.092920
               502.7           0.138000
               506.9           0.147100
                 511           0.110200
               515.1           0.150300
               519.3           0.154100
               523.4           0.136900
               527.5           0.164100
               531.7           0.125000
               535.8           0.205300
                 540           0.150100
               544.1           0.144300
               548.2           0.154100
               552.4           0.128700
               556.5           0.141500
               560.6           0.113700
               564.8           0.110200
               568.9           0.118500
               573.1           0.119200
               577.2           0.173600
               581.3           0.193300
               585.5           0.203500
               589.6           0.195300
               593.7           0.222600
               597.9           0.197300
                 602           0.195700
               606.2           0.245900
               610.3           0.190300
               614.4           0.201400
               618.6           0.204900
               622.7           0.212200
               626.9           0.210800
                 631           0.171300
               635.1           0.161900
               639.3           0.215500
               643.4           0.215400
               647.6           0.192600
               651.7           0.232900
               655.8           0.189000
                 660           0.221600
               664.1           0.246700
               668.3           0.261600
               672.4           0.268500
               676.5           0.242700
               680.7           0.230600
               684.8           0.240500
                 689           0.231300
               693.1           0.263000
               697.2           0.223500
               701.4           0.232900
               705.5           0.237100
               709.7           0.241200
               713.8           0.240600
                 718           0.238400
               722.1           0.238300
               726.2           0.213900
               730.4           0.177100
               734.5           0.157900
               738.7           0.198800
               742.8           0.189500
                 747           0.238600
               751.1           0.199900
               755.2           0.208300
               759.4           0.222000
               763.5           0.199400
               767.7           0.222500
               771.8           0.231400
                 776           0.210600
               780.1           0.179500
               784.2           0.238300
               788.4           0.205400
               792.5           0.217700
               796.7           0.234500
               800.8           0.221200
                 805           0.243800
               809.1           0.232900
               813.3           0.165200
               817.4           0.215100
               821.5           0.211400
               825.7           0.201300
               829.8           0.182000
                 834           0.221800
               838.1           0.214300
               842.3           0.220500
               846.4           0.217800
               850.6           0.236100
               854.7           0.221300
               858.9           0.241300
                 863           0.251000
               867.1           0.248900
               871.3           0.226400
               875.4           0.274900
               879.6           0.305900
               883.7           0.315400
               887.9           0.339500
                 892           0.327700
               896.2           0.340100
               900.3           0.314400
               904.5           0.323700
               908.6           0.349100
               912.8           0.319300
               916.9           0.386900
               921.1           0.319600
               925.2           0.197600
               929.4           0.200000
               933.5           0.153100
               937.6           0.075490
               941.8           0.039880
               945.9           0.035520
               950.1          -0.012530
               954.2          -0.004190
               958.4          -0.004950
               962.5           0.009200
               966.7          -0.007160
               970.8          -0.032330
                 975          -0.014920
               979.1          -0.022720
               983.3          -0.013370
               987.4           0.015170
               991.6          -0.034840
               995.7           0.019250
               999.9           0.027630
                1004           0.026550
              1008.2           0.019790
              1012.3           0.065970
              1016.5           0.018320
              1020.6           0.017410
              1024.8          -0.019740
              1028.9          -0.017800
              1033.1          -0.040760
              1037.2           0.038400
              1041.4          -0.047870
              1045.5           0.012580
              1049.7           0.040600
              1053.8           0.010400
                1058           0.009530
              1062.1          -0.008160
              1066.3          -0.010760
              1070.4           0.021360
              1074.6           0.017090
              1078.7           0.026570
              1082.9          -0.002380
              1087.1          -0.016900
              1091.2          -0.008240
              1095.4           0.019440
              1099.5           0.024420
              1103.7          -0.020380
              1107.8           0.006090
                1112           0.019850
              1116.1           0.018550
              1120.3           0.006650
              1124.4          -0.007700
              1128.6          -0.000840
              1132.7           0.045100
              1136.9           0.000510
                1141           0.010650
              1145.2           0.017230
              1149.3           0.080920
              1153.5           0.002180
              1157.7          -0.006850
              1161.8          -0.017560
                1166           0.004870
              1170.1           0.023200
              1174.3           0.041700
              1178.4           0.002290
              1182.6           0.004730
              1186.7          -0.004810
              1190.9          -0.011200
                1195           0.017300
              1199.2          -0.000400
              1203.4          -0.010470
