#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
            -1306.55          -0.008881
            -1300.16          -0.012335
            -1293.78          -0.008809
            -1287.39          -0.008549
            -1281.01          -0.002624
            -1274.62          -0.006378
            -1268.23          -0.008720
            -1261.85          -0.007514
            -1255.46          -0.003780
            -1249.07          -0.006515
            -1242.69          -0.007188
             -1236.3          -0.007591
            -1229.91          -0.003796
            -1223.52          -0.006068
            -1217.13          -0.007281
            -1210.74          -0.004563
            -1204.36          -0.004320
            -1197.97          -0.006434
            -1191.58          -0.006920
            -1185.19          -0.003712
             -1178.8          -0.001280
            -1172.41          -0.001173
            -1166.02          -0.005183
            -1159.62          -0.003499
            -1153.23          -0.002422
            -1146.84          -0.006444
            -1140.45          -0.005017
            -1134.06          -0.004629
            -1127.67          -0.001456
            -1121.27          -0.006941
            -1114.88          -0.003323
            -1108.49          -0.003355
            -1102.09          -0.006935
             -1095.7          -0.002436
            -1089.31          -0.000822
            -1082.91          -0.002944
            -1076.52          -0.003871
            -1070.12          -0.002259
            -1063.73          -0.002760
            -1057.33          -0.001678
            -1050.94          -0.000445
            -1044.54          -0.002307
            -1038.14          -0.002006
            -1031.75          -0.000315
            -1025.35          -0.001695
            -1018.95           0.000237
            -1012.56           0.001013
            -1006.16           0.000848
            -999.761          -0.000493
            -993.363          -0.000479
            -986.964           0.001310
            -980.566          -0.000862
            -974.167          -0.001538
            -967.768          -0.000684
            -961.368          -0.000116
            -954.969          -0.000112
            -948.569          -0.000860
            -942.168          -0.000225
            -935.768           0.001916
            -929.367           0.000522
            -922.966           0.000201
            -916.564           0.002531
            -910.163           0.004022
            -903.761           0.000104
            -897.358           0.003128
            -890.956           0.000132
            -884.553           0.002570
             -878.15          -0.002258
            -871.747           0.000439
            -865.343          -0.001483
            -858.939           0.000491
            -852.535           0.000393
            -846.131          -0.000329
            -839.726          -0.003140
            -833.321           0.001224
            -826.916          -0.001892
             -820.51           0.001241
            -814.105          -0.000363
            -807.699           0.002975
            -801.292           0.000259
            -794.886          -0.003688
            -788.479          -0.001504
            -782.072          -0.002089
            -775.664           0.000406
            -769.257          -0.001644
            -762.849          -0.000046
             -756.44          -0.000515
            -750.032           0.000457
            -743.623           0.002539
            -737.214          -0.002844
            -730.805           0.001799
            -724.395           0.002102
            -717.985          -0.000471
            -711.575           0.001330
            -705.164           0.002879
            -698.754          -0.000624
            -692.343           0.001578
            -685.932          -0.000084
             -679.52           0.000024
            -673.108          -0.000373
            -666.696           0.000296
            -660.284          -0.003602
            -653.871          -0.001189
            -647.458           0.001158
            -641.045           0.002258
            -634.631          -0.000617
            -628.218           0.001163
            -621.804           0.000223
            -615.389          -0.000495
            -608.975          -0.002910
             -602.56          -0.002303
            -596.145          -0.000341
            -589.729           0.000581
            -583.314          -0.002036
            -576.898           0.000009
            -570.482          -0.002068
            -564.065          -0.002522
            -557.648          -0.002609
            -551.231          -0.004448
            -544.814          -0.000219
            -538.396           0.000361
            -531.978          -0.003342
             -525.56           0.002431
            -519.142          -0.000312
            -512.723          -0.004390
            -506.304          -0.000610
            -499.885          -0.000299
            -493.465          -0.000655
            -487.046           0.000299
            -480.626           0.000512
            -474.205           0.001072
            -467.785           0.000045
            -461.364          -0.000699
            -454.942           0.000066
            -448.521           0.000954
            -442.099          -0.000454
            -435.677          -0.000282
            -429.255           0.001541
            -422.832          -0.001322
             -416.41          -0.000419
            -409.986          -0.003388
            -403.563           0.001023
            -397.139          -0.003659
            -390.716           0.000404
            -384.291           0.005967
            -377.867          -0.003742
            -371.442          -0.000180
            -365.017          -0.000696
            -358.592          -0.000466
            -352.166          -0.000378
             -345.74          -0.000161
            -339.314          -0.000729
            -332.888          -0.001308
            -326.461          -0.000563
            -320.034          -0.002576
            -313.607           0.001458
            -307.179           0.001756
            -300.751           0.000206
            -294.323           0.001136
            -287.895           0.002853
            -281.466           0.002697
            -275.038           0.001366
            -268.608           0.002299
            -262.179           0.000629
            -255.749           0.002579
            -249.319           0.003740
            -242.889           0.001578
            -236.458          -0.001028
            -230.027           0.003650
            -223.596           0.003510
            -217.165           0.000509
            -210.733           0.000013
            -204.301          -0.004818
            -197.869          -0.012481
            -191.437          -0.022987
            -185.004          -0.024929
            -178.571          -0.022871
            -172.138           0.002245
            -165.704           0.024833
             -159.27           0.021376
            -152.836          -0.027527
            -146.402          -0.093728
            -139.967          -0.108016
