#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
              3293.5           0.002662
              3288.3           0.002279
                3283           0.001475
              3277.7           0.002198
              3272.5          -0.001238
              3267.2          -0.004645
              3261.9          -0.001945
              3256.7           0.001726
              3251.4           0.002715
              3246.1           0.002803
              3240.9           0.004277
              3235.6           0.002566
              3230.3          -0.002685
              3225.1          -0.001211
              3219.8           0.002797
              3214.6           0.004414
              3209.3           0.002769
                3204          -0.002580
              3198.8          -0.005720
              3193.5          -0.003936
              3188.2          -0.001931
                3183          -0.000503
              3177.7           0.001230
              3172.4          -0.000607
              3167.2          -0.005586
              3161.9          -0.007422
              3156.7          -0.005241
              3151.4          -0.002585
              3146.1           0.001790
              3140.9           0.006283
              3135.6           0.003608
              3130.4           0.000132
              3125.1           0.000233
              3119.8          -0.001343
              3114.6          -0.000286
              3109.3           0.004199
                3104           0.002853
              3098.8          -0.000459
              3093.5           0.002250
              3088.3           0.004535
                3083           0.003025
              3077.8           0.000082
              3072.5          -0.002784
              3067.2          -0.004676
                3062          -0.003761
              3056.7           0.000222
              3051.5           0.002482
              3046.2           0.004294
              3040.9           0.005708
              3035.7           0.002124
              3030.4           0.000336
              3025.2           0.001789
              3019.9           0.000699
              3014.7          -0.000179
              3009.4          -0.000141
              3004.1           0.001911
              2998.9           0.004511
              2993.6           0.001450
              2988.4          -0.002647
              2983.1          -0.002688
              2977.9          -0.002603
              2972.6          -0.002627
              2967.3          -0.000425
              2962.1          -0.001526
              2956.8          -0.006872
              2951.6          -0.006514
              2946.3          -0.004057
              2941.1          -0.007326
              2935.8          -0.007355
              2930.6          -0.000349
              2925.3           0.002534
              2920.1          -0.002248
              2914.8          -0.003591
              2909.5           0.000351
              2904.3          -0.001289
                2899          -0.003763
              2893.8          -0.001218
              2888.5          -0.000516
              2883.3          -0.001541
                2878           0.002752
              2872.8           0.006863
              2867.5           0.008890
              2862.3           0.009684
                2857           0.005476
              2851.8          -0.000008
              2846.5          -0.001223
              2841.3          -0.000270
                2836           0.002403
              2830.8           0.007212
              2825.5           0.007883
              2820.3           0.005006
                2815           0.001938
              2809.8          -0.001343
              2804.5          -0.001068
