#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
                40.7          -0.120200
                51.7           0.027170
                62.7          -0.019660
                73.7          -0.035900
                84.7          -0.035850
                95.7          -0.007270
               106.7           0.009810
               117.7           0.003310
               128.7           0.002070
               139.7           0.012070
               150.7           0.012330
               161.7           0.004290
               172.7           0.007340
               183.7           0.007630
               194.7           0.002950
               205.7           0.000180
               216.7          -0.000560
               227.7           0.004050
               238.8           0.008510
               249.8           0.007910
               260.8           0.005110
               271.8          -0.000180
               282.8          -0.006270
               293.8          -0.005770
               304.8           0.001240
               315.8           0.004490
               326.9           0.004400
               337.9           0.004430
               348.9           0.003400
               359.9           0.005140
               370.9           0.002320
                 382          -0.002710
                 393          -0.000010
                 404          -0.001060
                 415          -0.004870
                 426          -0.004700
               437.1          -0.007170
               448.1          -0.012310
               459.1          -0.017740
               470.1          -0.018370
               481.2          -0.018010
               492.2          -0.022120
               503.2          -0.017350
               514.3          -0.004820
               525.3          -0.007690
               536.3          -0.011930
               547.4          -0.001820
               558.4          -0.002460
               569.4          -0.009490
               580.5          -0.012090
               591.5          -0.014320
               602.5          -0.012710
               613.6          -0.006350
               624.6           0.000770
               635.6           0.002440
               646.7          -0.001320
               657.7          -0.006720
               668.8          -0.009030
               679.8          -0.010020
               690.9          -0.007780
               701.9           0.000580
               712.9           0.005910
                 724           0.005770
                 735           0.005160
               746.1           0.005090
               757.1           0.005410
               768.2           0.004090
               779.2           0.001890
               790.3           0.003960
               801.3           0.008520
               812.4           0.007340
               823.4           0.004050
               834.5           0.007250
               845.5           0.013100
               856.6           0.024100
               867.7           0.047680
               878.7           0.086470
               889.8           0.143900
               900.8           0.207700
               911.9           0.252700
               922.9           0.266900
                 934           0.260400
               945.1           0.245300
               956.1           0.230100
               967.2           0.221100
               978.3           0.212500
               989.3           0.203800
              1000.4           0.198500
              1011.5           0.192400
              1022.5           0.186300
              1033.6           0.187400
              1044.7           0.193100
              1055.7           0.195100
              1066.8           0.186600
              1077.9           0.175300
              1088.9           0.177100
                1100           0.180400
              1111.1           0.173600
              1122.2           0.175100
              1133.2           0.187600
              1144.3           0.198800
              1155.4           0.207600
              1166.5           0.205700
              1177.6           0.192100
              1188.6           0.184000
              1199.7           0.185300
              1210.8           0.192700
              1221.9           0.202200
                1233           0.212400
                1244           0.224900
              1255.1           0.229000
              1266.2           0.236400
              1277.3           0.266700
              1288.4           0.321400
              1299.5           0.365400
              1310.6           0.326800
              1321.7           0.217100
              1332.7           0.119100
              1343.8           0.066590
              1354.9           0.050190
                1366           0.041320
              1377.1           0.022160
              1388.2           0.004500
              1399.3          -0.000870
              1410.4           0.000370
              1421.5          -0.003320
              1432.6          -0.005590
              1443.7          -0.002930
              1454.8          -0.000620
              1465.9           0.007020
                1477           0.011000
              1488.1           0.006140
              1499.2           0.005040
              1510.3           0.002140
              1521.4          -0.003010
              1532.5          -0.001500
              1543.6           0.000260
              1554.7          -0.000380
              1565.8           0.002370
              1576.9           0.007740
                1588           0.007490
              1599.2           0.004800
              1610.3           0.008420
              1621.4           0.010650
              1632.5           0.005970
              1643.6           0.003350
              1654.7           0.007140
              1665.8           0.009020
                1677           0.004090
              1688.1           0.000010
              1699.2           0.000860
              1710.3           0.006370
              1721.4           0.010730
              1732.5           0.007770
              1743.7           0.004910
              1754.8           0.006560
              1765.9           0.007340
                1777           0.008400
              1788.2           0.016280
              1799.3           0.021100
              1810.4           0.015840
              1821.5           0.011740
              1832.7           0.012580
              1843.8           0.013540
              1854.9           0.011550
                1866           0.007890
              1877.2           0.005930
              1888.3           0.004800
              1899.4           0.003430
              1910.6           0.005070
              1921.7           0.006880
              1932.8           0.004830
                1944           0.003950
              1955.1           0.010490
              1966.2           0.019610
              1977.4           0.020240
              1988.5           0.010770
              1999.7           0.001730
              2010.8           0.009020
              2021.9           0.000470
              2033.1          -0.013640
              2044.2          -0.001430
              2055.4           0.005200
              2066.5          -0.074600
              2077.7          -0.132500
              2088.8          -0.057900
                2100          -0.179900
              2111.1          -0.498600
              2122.3          -0.554200
              2133.4          -0.363300
              2144.6          -0.287500
              2155.7          -1.259000
