#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]               [Jy] 
             942.066           0.003804
             952.686          -0.003254
             963.306           0.001345
             973.928          -0.005059
              984.55          -0.001833
             995.173           0.001768
              1005.8          -0.001570
             1016.42           0.001656
             1027.05           0.002367
             1037.67          -0.001370
              1048.3           0.004911
             1058.93          -0.002691
             1069.55          -0.002161
             1080.18           0.001510
             1090.81          -0.003316
             1101.44           0.002919
             1112.07           0.003236
             1122.71           0.003994
             1133.34           0.000097
             1143.97          -0.004650
             1154.61          -0.000574
             1165.24          -0.001143
             1175.88           0.004069
             1186.51          -0.003654
             1197.15           0.002275
             1207.79          -0.001712
             1218.43           0.004135
             1229.07           0.001789
             1239.71          -0.002086
             1250.35           0.002377
             1260.99          -0.001946
             1271.63           0.000223
             1282.27          -0.004032
             1292.92           0.001066
             1303.56          -0.004840
             1314.21          -0.003272
             1324.85          -0.000493
              1335.5           0.000695
             1346.15          -0.001843
              1356.8          -0.000562
             1367.45           0.002540
              1378.1          -0.000312
             1388.75          -0.000667
              1399.4           0.006322
             1410.05           0.002396
              1420.7           0.005574
             1431.36           0.010002
             1442.01           0.006657
             1452.67           0.014217
             1463.32           0.014746
             1473.98           0.013766
             1484.64           0.026097
             1495.29           0.026630
             1505.95           0.037552
             1516.61           0.047593
             1527.27           0.051820
             1537.94           0.056122
              1548.6           0.051138
             1559.26           0.057031
             1569.92           0.049488
             1580.59           0.042623
             1591.25           0.035171
             1601.92           0.036603
             1612.59           0.041274
             1623.25           0.037645
             1633.92           0.036313
             1644.59           0.038423
             1655.26           0.039945
             1665.93           0.040888
              1676.6           0.038738
             1687.27           0.034949
             1697.94           0.033608
             1708.62           0.034316
             1719.29           0.037330
             1729.97           0.051651
             1740.64           0.072823
             1751.32           0.075031
                1762           0.084984
             1772.67           0.037377
             1783.35           0.010115
             1794.03           0.006223
             1804.71           0.006512
             1815.39           0.008597
             1826.07           0.005048
             1836.76           0.000741
             1847.44           0.001959
             1858.12           0.004794
             1868.81          -0.004189
             1879.49          -0.003744
             1890.18          -0.001627
             1900.87          -0.003132
             1911.55          -0.002808
             1922.24           0.005629
             1932.93           0.004258
             1943.62           0.000532
             1954.31           0.002717
                1965          -0.001399
              1975.7           0.002162
             1986.39          -0.001984
             1997.08          -0.002091
             2007.78          -0.005009
             2018.47          -0.002000
             2029.17          -0.000894
             2039.87           0.002239
             2050.56           0.001799
             2061.26          -0.000328
             2071.96           0.003275
             2082.66           0.000793
             2093.36           0.001717
             2104.06          -0.001460
             2114.76          -0.000407
             2125.47          -0.001632
             2136.17          -0.001998
             2146.87           0.001556
             2157.58          -0.000112
             2168.29           0.002637
             2178.99          -0.000777
              2189.7          -0.000741
             2200.41           0.000480
             2211.12          -0.003761
             2221.83           0.000265
             2232.54           0.002481
