#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
            -493.963           0.0434952
            -480.814          -0.0225567
            -467.665         -0.00189994
            -454.514         0.000783516
            -441.362          -0.0117432
            -428.209         -0.00791205
            -415.055          -0.0111832
            -401.899          -0.0120153
            -388.743          -0.0170809
            -375.585           0.0131903
            -362.426          -0.0244135
            -349.266           0.0260918
            -336.105           0.0118781
            -322.943           0.0737905
            -309.779           0.0284386
            -296.614           0.0401623
            -283.449          -0.0661053
            -270.282           -0.143924
            -257.113           -0.598211
            -243.944            -1.10986
            -230.774           -0.710441
            -217.602          -0.0441852
            -204.429           -0.078273
            -191.256            0.014958
             -178.08          -0.0235064
            -164.904            0.022011
            -151.727            0.020067
            -138.548         -0.00555446
            -125.369            0.130475
            -112.188             2.75057
            -99.0056             15.3166
            -85.8224             28.9753
            -72.6381             30.6732
            -59.4526             34.0815
            -46.2659             30.6145
            -33.0781             24.5645
            -19.8891             20.1711
            -6.69895             4.18539
             6.49236             3.26642
             19.6848             8.90475
             32.8785            0.226283
             46.0733            -0.47023
             59.2692            0.295256
             72.4663           -0.625832
             85.6646            0.209071
             98.8641           -0.282526
             112.065            0.113558
             125.266          -0.0597586
             138.469           0.0440192
             151.673         0.000747153
             164.879         -0.00245248
             178.085          -0.0277514
             191.293           0.0282419
             204.501          -0.0259362
             217.711            0.066793
             230.922          -0.0270263
             244.135          -0.0201456
             257.348           -0.020655
             270.563           0.0440914
             283.778          0.00476548
             296.995          0.00436411
             310.213          -0.0244863
             323.432            0.045749
             336.653          0.00383993
             349.874           0.0557439
             363.097           0.0396286
             376.321        -0.000127454
             389.546           0.0532106
             402.772           0.0107644
                 416           -0.030786
             429.228           0.0153417
             442.458           -0.065455
             455.689          -0.0376598
             468.921           0.0310328
             482.154          -0.0459254
             495.388          -0.0286051
