#                      Published-Value
#      Spectral-axis           Intensity
#             [km/s]                [Jy]
            -208.404              0.0138
            -206.889              0.0143
            -205.374              0.0148
            -203.859              0.0153
            -202.344              0.0158
            -200.829              0.0163
            -199.314              0.0168
            -197.799              0.0173
            -196.284              0.0179
            -194.769              0.0184
            -193.254              0.0189
            -191.739              0.0194
            -190.224              0.0199
            -188.709              0.0204
            -187.194              0.0209
            -185.678              0.0214
            -184.163              0.0219
            -182.648              0.0224
            -181.133               0.023
            -179.618              0.0235
            -178.103               0.024
            -176.588              0.0245
            -175.073               0.025
            -173.558              0.0255
            -172.043               0.026
            -170.528              0.0265
            -169.013               0.027
            -167.498              0.0275
            -165.983              0.0281
            -164.468              0.0286
            -162.953              0.0291
            -161.438              0.0296
            -159.923              0.0301
            -158.408              0.0306
            -156.893              0.0311
            -155.378              0.0316
            -153.863              0.0321
            -152.347              0.0326
            -150.832              0.0332
            -149.317              0.0337
            -147.802              0.0342
            -146.287              0.0347
            -144.772              0.0352
            -143.257              0.0357
            -141.742              0.0362
            -140.227              0.0367
            -138.712              0.0372
            -137.197              0.0378
            -135.682              0.0383
            -134.167              0.0388
            -132.652              0.0393
            -131.137              0.0398
            -129.622              0.0403
            -128.107              0.0408
            -126.592              0.0413
            -125.077              0.0418
            -123.562              0.0423
            -122.047              0.0429
            -120.532              0.0434
            -119.016              0.0439
            -117.501              0.0444
            -115.986              0.0449
            -114.471              0.0454
            -112.956              0.0459
            -111.441              0.0464
            -109.926              0.0469
            -108.411              0.0474
            -106.896               0.048
            -105.381              0.0485
            -103.866               0.049
            -102.351              0.0495
            -100.836                0.05
             -99.321              0.0505
             -97.806               0.051
             -96.291              0.0515
             -94.776               0.052
             -93.261              0.0525
             -91.746              0.0531
             -90.231              0.0536
             -88.716              0.0541
             -87.201              0.0546
             -85.686              0.0551
              -84.17              0.0556
             -82.655              0.0561
              -81.14              0.0566
             -79.612             -0.0035
             -78.097              -0.003
             -76.595              0.0582
             -75.067             -0.0019
             -73.552             -0.0014
             -72.037             -0.0009
             -70.535              0.0602
              -69.02              0.0607
             -67.505              0.0612
              -65.99              0.0617
             -64.475              0.0622
              -62.96              0.0627
             -61.445              0.0633
             -59.917              0.0032
             -58.402              0.0037
             -56.887              0.0042
             -55.385              0.0653
              -53.87              0.0658
             -52.342              0.0057
             -50.827              0.0062
             -49.312              0.0067
             -47.797              0.0072
             -46.282              0.0078
             -44.767              0.0083
             -43.251              0.0088
             -41.736              0.0093
             -40.221              0.0098
             -38.706              0.0103
             -37.191              0.0108
             -35.676              0.0113
             -34.161              0.0118
             -32.646              0.0123
             -31.131              0.0129
             -29.616              0.0134
             -28.101              0.0139
             -26.586              0.0144
             -25.071              0.0149
             -23.556              0.0154
             -22.041              0.0159
             -20.526              0.0164
             -19.011              0.0169
             -17.496              0.0174
             -15.981               0.018
             -14.466              0.0185
              -12.95               0.019
             -11.448              0.0801
               -9.92                0.02
              -8.405              0.0205
               -6.89               0.021
              -5.375              0.0215
               -3.86               0.022
              -2.345              0.0225
               -0.83              0.0231
               0.685              0.0236
                 2.2              0.0241
               3.715              0.0246
                5.23              0.0251
               6.745              0.0256
                8.26              0.0261
               9.775              0.0266
               11.29              0.0271
              12.805              0.0277
               14.32              0.0282
              15.835              0.0287
               17.35              0.0292
              18.865              0.0297
              20.381              0.0302
              21.895              0.0307
              23.411              0.0312
              24.926              0.0317
              26.441              0.0322
              27.956              0.0328
              29.471              0.0333
              30.986              0.0338
              32.501              0.0343
              34.016              0.0348
              35.531              0.0353
              37.046              0.0358
              38.561              0.0363
              40.076              0.0368
              41.591              0.0373
              43.106              0.0379
              44.621              0.0384
              46.136              0.0389
              47.651              0.0394
              49.166              0.0399
              50.681              0.0404
              52.196              0.0409
              53.712              0.0414
              55.227              0.0419
              56.742              0.0424
              58.257               0.043
              59.772              0.0435
              61.287               0.044
              62.802              0.0445
              64.317               0.045
              65.832              0.0455
              67.347               0.046
              68.862              0.0465
              70.377               0.047
              71.892              0.0475
              73.407              0.0481
              74.922              0.0486
              76.437              0.0491
              77.952              0.0496
              79.467              0.0501
              80.982              0.0506
              82.497              0.0511
              84.012              0.0516
              85.527              0.0521
               87.03              0.1132
              88.545              0.1138
               90.06              0.1143
              91.575              0.1148
               93.09              0.1153
              94.605              0.1158
               96.12              0.1163
              97.635              0.1168
              99.137              0.1779
             100.652              0.1784
             102.167               0.179
             103.682              0.1795
             105.198                0.18
             106.725              0.1199
             108.215              0.2416
             109.717              0.3027
             111.232              0.3032
             112.734              0.3643
             114.237              0.4254
             115.739              0.4866
             117.241              0.5477
             118.731              0.6694
             120.233              0.7305
             121.735              0.7916
             123.225              0.9133
             124.715               1.035
             126.191              1.2173
             127.668              1.3997
             129.158              1.5214
             130.634              1.7037
             132.111               1.886
             133.588              2.0683
             135.065              2.2506
             136.516              2.5541
              137.98              2.7971
             139.457              2.9794
             140.921              3.2223
             142.385              3.4652
             143.849              3.7081
             145.313               3.951
             146.777               4.194
             148.228              4.4975
             149.705              4.6798
             151.182              4.8621
             152.646               5.105
              154.11               5.348
             155.574              5.5909
             157.038              5.8338
             158.515              6.0161
             159.992              6.1984
             161.456              6.4414
              162.92              6.6842
             164.397              6.8666
             165.873              7.0489
              167.35              7.2312
             168.827              7.4135
             170.304              7.5958
             171.793              7.7176
              173.27              7.8999
              174.76              8.0215
             176.249              8.1433
             177.739               8.265
             179.241              8.3261
              180.73              8.4478
             182.233              8.5089
             183.735              8.5701
              185.25              8.5706
             186.752              8.6317
             188.267              8.6322
             189.782              8.6327
             191.298              8.6332
             192.825              8.5731
              194.34              8.5736
             195.868              8.5135
             197.396              8.4535
             198.924              8.3933
             200.439              8.3938
             201.967              8.3338
             203.507              8.2131
             205.035               8.153
             206.563              8.0929
             208.103              7.9722
             209.631              7.9121
             211.159               7.852
             212.687              7.7919
             214.227              7.6712
             215.755              7.6112
             217.296              7.4904
             218.823              7.4303
             220.351              7.3703
             221.892              7.2496
              223.42              7.1895
             224.947              7.1294
             226.475              7.0693
             228.003              7.0092
             229.531              6.9491
             231.059               6.889
             232.574              6.8895
             234.101              6.8295
             235.616              6.8299
             237.131              6.8304
             238.634              6.8916
             240.149              6.8921
             241.664              6.8926
             243.166              6.9537
             244.668              7.0148
             246.158              7.1365
             247.648              7.2582
             249.137                7.38
             250.627              7.5016
             252.129              7.5628
             253.618              7.6845
             255.082              7.9274
             256.559              8.1097
             258.049              8.2314
               259.5               8.535
              260.99              8.6567
             262.454              8.8996
             263.943              9.0213
              265.42              9.2036
             266.884              9.4465
             268.348              9.6894
             269.825              9.8718
             271.289             10.1147
             272.766              10.297
              274.23             10.5399
             275.694             10.7828
             277.158             11.0258
             278.609             11.3293
             280.048             11.6934
             281.512             11.9363
             282.963             12.2398
             284.401              12.604
             285.878             12.7862
             287.342             13.0292
             288.819             13.2115
              290.27              13.515
             291.734             13.7579
             293.211             13.9402
             294.688             14.1226
             296.165             14.3049
             297.654             14.4266
             299.169             14.4271
              300.71             14.3064
             302.276             14.0645
             303.855              13.762
             305.421             13.5201
             306.987             13.2782
             308.591             12.8545
             310.183             12.4914
             311.749             12.2495
             313.532             10.9774
             315.187             10.3113
             316.893              9.4028
             318.549              8.7367
             320.217              8.0099
             321.834              7.5256
             323.502              6.7989
             325.157              6.1328
               326.8              5.5273
             328.442              4.9218
